Date,crude,feeder,lean_hogs,cattle,london_coffee,lumber,oats,orange,us_cocoa,us_coffee_c,soybean_oil,soybeans,sugar_11,wheat
2020-01-01,61.33,145.5,71.25,125.97,,404.9,,,,,34.82,943.5,,559.5
2020-01-02,60.95,144.65,71.55,125.78,1380.0,406.7,298.0,100.75,2532.0,,35.24,944.25,13.13,560.25
2020-01-03,62.82,143.35,68.55,124.72,1372.0,403.6,290.75,99.4,2519.0,,35.08,930.5,13.31,554.5
2020-01-06,63.04,147.43,68.62,127.28,1352.0,397.0,294.25,99.0,2484.0,,34.52,932.75,13.73,550.0
2020-01-07,62.51,145.9,69.22,126.53,1364.0,395.4,293.25,99.65,2533.0,,34.74,935.0,13.59,550.25
2020-01-08,59.46,146.82,69.03,126.35,1354.0,398.0,299.0,98.95,2501.0,,34.56,938.25,13.47,552.75
2020-01-09,59.44,146.93,67.03,126.72,1338.0,391.1,302.0,97.0,2554.0,,34.64,933.75,13.71,562.25
2020-01-10,58.99,147.6,67.25,127.42,1345.0,392.0,308.5,97.1,2589.0,,34.35,935.0,14.07,564.5
2020-01-13,58.08,146.02,65.9,126.55,1312.0,393.6,311.0,98.6,2583.0,,33.95,929.25,14.16,562.25
2020-01-14,58.26,145.9,67.67,126.85,1320.0,390.0,313.0,99.7,2655.0,,34.07,928.5,14.32,568.5
2020-01-15,57.84,145.43,67.88,126.6,1327.0,388.6,305.75,99.75,2689.0,,33.64,928.75,14.52,573.25
2020-01-16,58.53,145.43,66.88,126.12,1314.0,428.8,305.5,99.1,2712.0,,33.37,924.0,14.43,565.25
2020-01-17,58.58,145.35,67.67,126.35,1319.0,430.0,311.75,98.55,2797.0,,33.67,929.75,14.45,570.5
2020-01-19,59.27,145.35,67.67,126.35,1319.0,430.0,311.75,98.55,2797.0,,33.67,929.75,14.45,570.75
2020-01-20,58.73,145.35,67.67,126.35,1305.0,430.0,311.75,98.55,2797.0,,33.67,929.75,14.45,569.75
2020-01-21,58.38,145.07,67.35,126.38,1335.0,424.7,314.75,99.35,2818.0,,33.09,916.0,14.55,581.5
2020-01-22,56.76,143.93,67.55,126.17,1337.0,425.2,313.25,100.2,2803.0,,33.35,913.75,14.66,577.75
2020-01-23,55.61,142.77,68.5,124.67,1367.0,426.0,316.5,98.8,2771.0,,32.82,909.5,14.57,580.5
2020-01-24,54.2,141.85,67.22,124.85,1319.0,426.2,303.25,99.3,2733.0,,32.37,902.0,14.39,573.5
2020-01-27,53.18,141.9,65.95,122.25,1328.0,420.8,300.5,98.65,2734.0,,31.88,897.25,14.21,572.25
2020-01-28,53.52,142.05,66.22,122.15,1337.0,427.1,307.0,99.5,2703.0,,31.83,895.0,14.54,569.75
2020-01-29,53.41,142.1,64.3,121.75,1317.0,428.0,307.75,100.25,2727.0,,31.88,893.0,14.49,562.25
2020-01-30,52.23,142.45,61.3,121.78,1315.0,436.1,305.5,99.0,2801.0,,31.0,876.25,14.59,560.5
2020-01-31,51.68,136.07,57.12,121.38,1342.0,435.5,303.75,99.5,2777.0,,30.3,872.5,14.61,553.75
2020-02-03,50.28,136.65,56.3,121.67,1302.0,422.8,300.25,98.3,2734.0,,30.65,877.0,14.89,555.5
2020-02-04,49.8,137.5,56.75,121.62,1290.0,412.7,308.0,97.45,2757.0,,31.1,879.5,14.71,557.25
2020-02-05,50.92,135.68,57.1,120.75,1284.0,428.3,304.5,97.3,2790.0,,31.69,880.0,14.73,562.0
2020-02-06,51.14,135.9,57.7,121.12,1297.0,433.2,304.75,98.2,2849.0,,31.61,881.0,14.74,556.25
2020-02-07,50.55,135.2,57.1,121.33,1290.0,440.2,303.0,98.35,2898.0,,31.34,882.0,14.92,558.75
2020-02-10,49.78,135.7,56.2,120.3,1285.0,446.0,301.75,101.25,2878.0,,30.99,884.25,15.04,552.0
2020-02-11,50.17,134.68,56.12,119.08,1299.0,451.4,299.25,102.3,2876.0,,31.08,884.75,15.41,542.0
2020-02-12,51.41,135.05,55.67,118.95,1287.0,454.5,304.0,100.75,2868.0,,31.4,892.5,15.78,547.5
2020-02-13,51.66,136.32,56.0,119.45,1301.0,455.1,295.75,101.7,2895.0,,31.09,896.25,15.16,544.25
2020-02-14,52.32,138.52,55.9,120.83,1314.0,449.3,296.0,101.5,2886.0,,30.94,893.75,15.06,542.75
2020-02-16,52.36,138.52,55.9,120.83,1314.0,449.3,296.0,101.5,2886.0,,30.63,892.5,15.06,545.38
2020-02-17,52.2,138.52,55.9,120.83,1314.0,449.3,296.0,101.5,2886.0,,30.63,892.5,15.06,545.38
2020-02-18,52.29,139.3,65.5,121.42,1293.0,446.1,303.5,100.75,2846.0,,30.84,892.25,15.28,566.75
2020-02-19,53.49,140.77,67.58,121.3,1290.0,460.3,301.25,102.2,2847.0,,30.7,897.25,15.58,565.25
2020-02-20,53.88,140.8,66.88,120.1,1279.0,463.0,298.5,100.3,2860.0,,30.47,892.75,15.4,560.0
2020-02-21,53.5,140.2,67.03,119.72,1296.0,460.1,296.0,100.85,2843.0,,31.01,890.5,15.59,551.0
2020-02-24,51.58,136.02,64.62,117.0,1273.0,443.1,286.0,99.6,2801.0,,29.87,874.25,15.27,536.25
2020-02-25,50.06,132.98,64.67,115.03,1282.0,435.3,285.0,99.35,2806.0,,29.62,879.0,15.15,539.0
2020-02-26,48.88,134.07,65.15,114.08,1295.0,427.5,278.75,97.15,2739.0,,29.45,881.0,14.79,540.25
2020-02-27,47.29,132.57,62.55,112.62,1289.0,412.0,273.5,95.05,2745.0,,29.19,886.25,14.39,529.25
2020-02-28,44.94,131.27,62.27,112.7,1283.0,399.4,268.75,95.95,2672.0,,28.68,883.5,14.46,529.0
2020-03-02,46.92,133.73,62.8,110.15,1291.0,415.6,259.0,99.4,2661.0,,28.91,890.5,13.81,526.25
2020-03-03,47.33,133.52,63.55,110.1,1331.0,404.1,258.0,98.35,2653.0,,29.16,893.0,13.76,528.75
2020-03-04,46.95,134.85,64.3,111.28,1307.0,410.2,264.25,98.4,2626.0,,29.74,898.75,13.47,521.5
2020-03-05,46.06,133.63,65.38,108.65,1274.0,407.5,264.0,97.25,2597.0,,29.39,889.0,13.42,524.25
2020-03-06,41.51,130.7,65.92,105.75,1245.0,400.4,261.75,96.7,2561.0,,28.75,883.25,13.02,521.25
2020-03-09,31.47,126.2,63.0,102.85,1247.0,370.4,261.0,94.05,2545.0,,27.54,863.5,12.61,522.25
2020-03-10,34.73,127.75,65.0,105.45,1279.0,378.8,268.5,96.2,2577.0,,27.67,873.0,12.59,526.75
2020-03-11,33.39,123.32,63.88,103.08,1271.0,373.5,268.0,97.9,2625.0,,27.53,867.75,12.26,517.25
2020-03-12,31.98,118.82,60.88,100.08,1249.0,330.1,268.5,98.55,2495.0,,26.38,855.0,11.62,508.25
2020-03-13,32.11,113.0,56.38,95.58,1241.0,350.0,268.5,100.2,2425.0,,26.37,846.75,11.7,514.75
2020-03-16,29.0,108.5,53.98,91.85,1221.0,325.0,259.5,100.1,2331.0,,25.34,821.75,11.09,498.0
2020-03-17,27.33,113.55,58.48,96.35,1212.0,310.0,253.5,101.8,2318.0,,25.59,824.25,10.89,499.25
2020-03-18,20.83,112.57,58.15,92.1,1227.0,303.4,255.25,98.45,2284.0,,25.37,825.5,10.67,508.25
2020-03-19,25.91,117.07,61.15,95.1,1216.0,319.8,261.25,99.95,2216.0,,25.81,843.25,10.59,535.0
2020-03-20,22.63,120.72,61.58,98.65,1244.0,322.3,262.0,105.6,2230.0,,25.94,862.5,10.91,539.25
2020-03-23,25.48,125.22,64.58,101.65,1244.0,320.2,268.5,109.55,2257.0,,26.4,884.0,11.04,562.5
2020-03-24,26.2,130.23,66.42,106.15,1257.0,321.5,269.5,114.0,2275.0,,26.84,886.75,11.27,561.5
2020-03-25,27.16,132.07,65.85,108.45,1259.0,311.6,266.0,117.95,2248.0,,26.99,881.5,11.41,580.0
2020-03-26,25.71,130.8,62.9,105.45,1278.0,320.8,261.0,117.95,2255.0,,26.86,880.25,11.33,569.0
2020-03-27,25.15,120.6,58.45,100.95,1244.0,311.3,265.5,117.65,2257.0,,27.22,881.5,11.1,571.25
2020-03-30,24.09,120.05,53.95,99.2,1237.0,296.5,261.5,120.1,2265.0,,27.23,882.25,10.73,569.5
2020-03-31,24.51,121.93,52.2,101.83,1222.0,278.5,264.25,120.4,2249.0,,27.36,886.0,10.42,568.75
2020-04-01,23.74,117.43,49.2,97.33,1204.0,259.8,260.25,119.3,2227.0,,26.41,862.75,10.04,550.25
2020-04-02,28.05,110.68,44.7,92.83,1234.0,264.1,264.5,116.45,2285.0,,26.59,858.75,10.29,541.75
2020-04-03,30.9,108.25,40.23,88.33,1220.0,264.0,272.75,114.0,2264.0,,26.75,854.25,10.31,549.25
2020-04-06,29.98,110.43,41.12,83.83,1221.0,282.0,273.5,111.9,2366.0,,27.15,855.5,10.45,555.75
2020-04-07,28.69,114.93,44.12,88.33,1233.0,307.4,274.25,108.3,2392.0,,27.81,854.75,10.38,549.25
2020-04-08,30.17,119.88,43.12,92.83,1230.0,304.1,275.5,105.2,2372.0,,27.53,854.5,10.37,548.25
2020-04-09,28.82,119.53,42.8,94.0,1219.0,322.1,274.25,110.95,2311.0,,27.76,863.5,10.43,556.5
2020-04-10,28.82,118.72,42.9,84.57,1219.0,322.1,274.25,110.95,2311.0,,27.41,863.25,10.43,558.25
2020-04-13,29.26,115.03,44.9,91.0,1219.0,333.7,274.75,106.55,2272.0,,27.27,854.25,10.17,555.0
2020-04-14,27.4,116.4,45.65,93.7,1192.0,331.0,277.25,108.25,2288.0,,27.16,847.0,10.05,548.75
2020-04-15,26.04,115.8,45.6,94.72,1206.0,324.0,285.5,108.9,2229.0,,26.94,842.0,10.16,540.25
2020-04-16,25.53,118.25,37.33,95.5,1205.0,332.6,289.25,109.2,2258.0,,26.68,836.75,10.16,529.75
2020-04-17,25.03,119.53,37.92,94.65,1188.0,341.7,288.0,107.4,2368.0,,26.67,832.5,10.37,533.5
2020-04-20,20.43,118.32,40.6,93.53,1177.0,328.5,293.25,107.65,2358.0,,26.37,826.5,10.06,548.75
