Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,125.97,125.97,125.97,125.97,,0.0102
2020-01-02,125.78,126.0,126.33,124.55,28660.0,-0.0015
2020-01-03,124.72,125.78,125.95,124.58,32900.0,-0.0084
2020-01-06,127.28,125.0,127.42,124.75,33910.0,0.0205
2020-01-07,126.53,127.0,127.25,125.78,28580.0,-0.0059
2020-01-08,126.35,126.45,126.95,126.03,41440.0,-0.0014
2020-01-09,126.72,126.35,127.17,126.05,33040.0,0.0029
2020-01-10,127.42,126.62,127.55,126.42,31920.0,0.0055
2020-01-13,126.55,127.35,127.4,126.45,33810.0,-0.0068
2020-01-14,126.85,126.65,127.25,126.3,32350.0,0.0024
2020-01-15,126.6,126.97,127.22,126.08,23610.0,-0.002
2020-01-16,126.12,126.92,126.92,124.78,29760.0,-0.0038
2020-01-17,126.35,126.22,126.42,125.25,21090.0,0.0018
2020-01-21,126.38,126.03,126.55,125.85,15940.0,0.0002
2020-01-22,126.17,126.38,126.47,125.9,11170.0,-0.0017
2020-01-23,124.67,126.15,126.33,124.58,18060.0,-0.0119
2020-01-24,124.85,124.83,125.22,124.1,12080.0,0.0014
2020-01-27,122.25,123.9,124.0,122.2,19440.0,-0.0208
2020-01-28,122.15,122.4,123.1,122.1,11010.0,-0.0008
2020-01-29,121.75,122.35,122.53,121.72,7200.0,-0.0033
2020-01-30,121.78,122.08,122.2,121.12,11040.0,0.0002
2020-01-31,121.38,121.85,122.65,121.3,8000.0,-0.0033
2020-02-03,121.67,121.4,122.15,120.72,9890.0,0.0024
2020-02-04,121.62,122.5,122.72,121.58,5850.0,-0.0004
2020-02-05,120.75,122.08,122.08,120.55,9470.0,-0.0072
2020-02-06,121.12,120.78,121.6,120.1,4820.0,0.0031
2020-02-07,121.33,121.0,121.47,120.83,4790.0,0.0017
2020-02-10,120.3,121.25,121.3,120.25,5130.0,-0.0085
2020-02-11,119.08,120.2,120.3,119.05,3150.0,-0.0101
2020-02-12,118.95,119.0,119.58,118.65,3260.0,-0.0011
2020-02-13,119.45,119.1,119.7,118.45,1980.0,0.0042
2020-02-14,120.83,119.78,122.35,119.78,2550.0,0.0116
2020-02-18,121.42,121.5,122.0,120.75,1250.0,0.0049
2020-02-19,121.3,121.05,121.5,120.9,1430.0,-0.001
2020-02-20,120.1,121.53,121.53,119.9,2720.0,-0.0099
2020-02-21,119.72,120.17,120.17,118.8,1980.0,-0.0032
2020-02-24,117.0,118.03,118.28,116.8,1610.0,-0.0227
2020-02-25,115.03,117.78,117.78,114.97,1580.0,-0.0168
2020-02-26,114.08,115.58,115.7,113.58,670.0,-0.0083
2020-02-27,112.62,113.75,114.2,110.25,390.0,-0.0128
2020-02-28,112.7,111.0,113.4,110.5,120.0,0.0007
2020-03-02,110.15,108.33,110.58,108.28,35050.0,-0.0226
2020-03-03,110.1,111.9,112.65,109.5,36540.0,-0.0005
2020-03-04,111.28,111.15,112.45,110.25,32390.0,0.0107
2020-03-05,108.65,110.42,110.55,108.5,29790.0,-0.0236
2020-03-06,105.75,107.25,108.17,105.65,53780.0,-0.0267
2020-03-09,102.85,102.75,105.22,102.75,45160.0,-0.0274
2020-03-10,105.45,105.0,105.85,104.8,47010.0,0.0253
2020-03-11,103.08,105.22,106.85,102.8,44760.0,-0.0225
2020-03-12,100.08,100.08,100.08,100.08,17200.0,-0.0291
2020-03-13,95.58,102.38,103.03,95.58,42480.0,-0.045
2020-03-16,91.85,91.08,99.97,91.08,36400.0,-0.039
2020-03-17,96.35,94.05,96.35,94.0,20430.0,0.049
2020-03-18,92.1,95.78,100.85,91.85,38580.0,-0.0441
2020-03-19,95.1,95.08,95.1,94.47,9070.0,0.0326
2020-03-20,98.65,99.6,99.6,97.1,16750.0,0.0373
2020-03-23,101.65,101.65,101.65,101.65,7060.0,0.0304
2020-03-24,106.15,106.15,106.15,106.15,5760.0,0.0443
2020-03-25,108.45,110.65,110.65,104.25,25840.0,0.0217
2020-03-26,105.45,108.5,108.55,105.45,10460.0,-0.0277
2020-03-27,100.95,103.33,104.1,100.95,12530.0,-0.0427
2020-03-30,99.2,100.5,102.0,98.4,9640.0,-0.0173
2020-03-31,101.83,99.0,102.2,97.8,8640.0,0.0265
2020-04-01,97.33,99.1,100.0,97.33,6440.0,-0.0442
2020-04-02,92.83,96.5,96.5,92.83,6100.0,-0.0462
2020-04-03,88.33,91.05,95.25,88.33,10850.0,-0.0485
2020-04-06,83.83,83.83,85.75,83.83,6440.0,-0.0509
2020-04-07,88.33,85.75,88.33,85.75,2100.0,0.0537
2020-04-08,92.83,92.83,92.83,91.6,3810.0,0.0509
2020-04-09,94.0,93.0,94.58,90.55,3360.0,0.0126
2020-04-10,84.57,84.57,84.57,84.57,,-0.1003
2020-04-13,91.0,91.1,91.53,91.0,1760.0,0.076
2020-04-14,93.7,91.25,94.8,90.42,3160.0,0.0297
2020-04-15,94.72,92.5,95.5,92.2,1670.0,0.0109
2020-04-16,95.5,94.42,97.67,94.42,2140.0,0.0082
2020-04-17,94.65,96.5,96.7,93.05,1720.0,-0.0089
2020-04-20,93.53,94.88,95.0,93.15,1220.0,-0.0118
2020-04-21,91.6,93.5,93.5,90.53,1720.0,-0.0206
2020-04-22,88.95,91.6,92.25,88.6,1170.0,-0.0289
2020-04-23,85.95,88.75,88.75,85.95,920.0,-0.0337
2020-04-24,84.97,84.45,86.6,81.45,1600.0,-0.0114
2020-04-27,84.8,87.83,87.83,84.6,420.0,-0.002
2020-04-28,85.53,84.8,85.75,84.7,620.0,0.0086
2020-04-29,85.6,86.1,89.5,84.9,530.0,0.0008
2020-04-30,90.0,87.9,90.4,85.0,70.0,0.0514
2020-05-01,87.25,86.5,88.95,85.72,32070.0,-0.0306
2020-05-04,88.08,87.72,89.72,87.25,22940.0,0.0095
2020-05-05,86.47,88.78,88.9,85.95,22310.0,-0.0183
2020-05-06,89.47,86.33,89.47,86.15,19520.0,0.0347
2020-05-07,93.97,91.75,93.97,91.62,28320.0,0.0503
2020-05-08,94.65,96.0,98.47,93.7,62400.0,0.0072
2020-05-11,92.67,95.65,96.12,92.03,30230.0,-0.0209
