Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,61.33,61.52,61.54,61.33,,0.0092
2020-01-02,60.95,61.29,61.32,60.42,101520.0,-0.0062
2020-01-03,62.82,60.96,63.8,60.91,236060.0,0.0307
2020-01-06,63.04,63.43,64.45,62.43,176990.0,0.0035
2020-01-07,62.51,62.67,62.92,61.96,173850.0,-0.0084
2020-01-08,59.46,62.63,65.4,58.99,436610.0,-0.0488
2020-01-09,59.44,59.85,60.17,58.55,268850.0,-0.0003
2020-01-10,58.99,59.51,59.67,58.79,256060.0,-0.0076
2020-01-13,58.08,59.08,59.21,57.93,295820.0,-0.0154
2020-01-14,58.26,58.06,58.73,57.74,262790.0,0.0031
2020-01-15,57.84,58.23,58.41,57.42,271200.0,-0.0072
2020-01-16,58.53,58.12,58.88,57.6,426330.0,0.0119
2020-01-17,58.58,58.61,59.0,58.31,415850.0,0.0009
2020-01-19,59.27,59.36,59.66,59.2,,0.0118
2020-01-20,58.73,59.28,59.32,58.56,,-0.0091
2020-01-21,58.38,59.35,59.77,57.71,648340.0,-0.006
2020-01-22,56.76,58.24,58.35,56.07,124610.0,-0.0277
2020-01-23,55.61,56.13,56.43,54.82,149950.0,-0.0203
2020-01-24,54.2,55.72,55.97,53.88,82340.0,-0.0254
2020-01-27,53.18,53.57,53.72,52.16,101530.0,-0.0188
2020-01-28,53.52,52.72,54.08,52.72,107710.0,0.0064
2020-01-29,53.41,54.0,54.39,52.87,110230.0,-0.0021
2020-01-30,52.23,53.1,53.27,51.75,140670.0,-0.0221
2020-01-31,51.68,52.97,53.42,51.09,154050.0,-0.0105
2020-02-03,50.28,51.15,52.05,49.98,195730.0,-0.0271
2020-02-04,49.8,50.04,51.7,49.5,161510.0,-0.0095
2020-02-05,50.92,49.68,52.01,49.64,172740.0,0.0225
2020-02-06,51.14,51.35,52.34,50.42,146700.0,0.0043
2020-02-07,50.55,51.31,51.66,50.32,230880.0,-0.0115
2020-02-10,49.78,50.34,50.71,49.63,206920.0,-0.0152
2020-02-11,50.17,49.78,50.86,49.78,252290.0,0.0078
2020-02-12,51.41,50.16,51.93,50.16,292200.0,0.0247
2020-02-13,51.66,51.87,52.19,50.82,311010.0,0.0049
2020-02-14,52.32,51.73,52.56,51.55,281390.0,0.0128
2020-02-16,52.36,52.45,52.63,52.34,,0.0008
2020-02-17,52.2,52.34,52.59,52.05,,-0.0031
2020-02-18,52.29,52.49,52.65,51.15,723140.0,0.0017
2020-02-19,53.49,52.36,53.87,52.16,655500.0,0.0229
2020-02-20,53.88,53.7,54.66,53.44,676180.0,0.0073
2020-02-21,53.5,53.93,54.02,52.72,142130.0,-0.0071
2020-02-24,51.58,52.79,52.79,50.61,137670.0,-0.0359
2020-02-25,50.06,51.5,52.15,49.85,144470.0,-0.0295
2020-02-26,48.88,50.22,50.57,48.44,179520.0,-0.0236
2020-02-27,47.29,48.7,48.9,46.1,195820.0,-0.0325
2020-02-28,44.94,46.68,47.2,44.07,230760.0,-0.0497
2020-03-02,46.92,43.93,47.71,43.4,190390.0,0.0441
2020-03-03,47.33,47.98,48.82,46.64,199810.0,0.0087
2020-03-04,46.95,47.1,48.56,46.82,155220.0,-0.008
2020-03-05,46.06,47.38,47.72,45.82,164220.0,-0.019
2020-03-06,41.51,46.22,46.53,41.29,398330.0,-0.0988
2020-03-09,31.47,32.87,35.19,27.83,673030.0,-0.2419
2020-03-10,34.73,30.75,35.35,30.58,415570.0,0.1036
2020-03-11,33.39,35.0,36.7,32.97,321920.0,-0.0386
2020-03-12,31.98,33.43,34.05,30.5,506870.0,-0.0422
2020-03-13,32.11,31.35,34.38,30.8,355350.0,0.0041
2020-03-16,29.0,32.69,33.8,28.5,443050.0,-0.0969
2020-03-17,27.33,28.99,30.61,27.06,520080.0,-0.0576
2020-03-18,20.83,27.3,27.6,20.52,1000000.0,-0.2378
2020-03-19,25.91,22.82,28.28,21.77,1190000.0,0.2439
2020-03-20,22.63,25.59,28.49,22.39,1130000.0,-0.1266
2020-03-23,25.48,24.4,26.12,22.74,198600.0,0.1259
2020-03-24,26.2,25.87,27.28,25.44,191670.0,0.0283
2020-03-25,27.16,26.64,27.59,25.56,183310.0,0.0366
2020-03-26,25.71,27.04,27.46,25.47,219090.0,-0.0534
2020-03-27,25.15,26.23,26.43,24.59,199030.0,-0.0218
2020-03-30,24.09,24.68,25.01,23.31,276610.0,-0.0421
2020-03-31,24.51,24.25,25.73,24.06,209610.0,0.0174
2020-04-01,23.74,24.18,24.72,23.63,276330.0,-0.0314
2020-04-02,28.05,24.19,30.16,23.92,447840.0,0.1816
2020-04-03,30.9,27.34,31.62,26.53,317830.0,0.1016
2020-04-06,29.98,29.2,31.27,28.13,209520.0,-0.0298
2020-04-07,28.69,30.21,31.3,28.53,317260.0,-0.043
2020-04-08,30.17,29.21,31.05,29.05,393260.0,0.0516
2020-04-09,28.82,30.82,33.15,28.63,438040.0,-0.0447
2020-04-13,29.26,30.3,30.57,28.26,399070.0,0.0153
2020-04-14,27.4,29.2,29.95,27.25,436460.0,-0.0636
2020-04-15,26.04,27.84,28.14,25.84,367570.0,-0.0496
2020-04-16,25.53,26.26,27.0,24.93,439670.0,-0.0196
2020-04-17,25.03,26.42,26.78,24.57,712980.0,-0.0196
2020-04-20,20.43,24.76,24.92,20.19,1320000.0,-0.1838
2020-04-21,11.57,21.32,22.58,6.5,2290000.0,-0.4337
2020-04-22,20.69,20.26,22.79,17.43,530400.0,0.7882
2020-04-23,21.44,20.99,23.4,20.32,344880.0,0.0362
2020-04-24,21.22,21.85,22.96,20.73,362380.0,-0.0103
2020-04-27,18.08,21.13,21.45,17.78,367140.0,-0.148
2020-04-28,17.6,18.24,19.66,17.27,613950.0,-0.0265
2020-04-29,19.12,18.01,20.36,17.4,380710.0,0.0864
2020-04-30,21.85,19.33,22.3,19.15,434790.0,0.1428
2020-05-01,22.29,22.04,23.4,20.86,330610.0,0.0201
2020-05-04,22.78,21.87,23.79,20.84,274820.0,0.022
2020-05-05,26.49,23.56,27.4,23.38,405070.0,0.1629
2020-05-06,25.62,27.45,27.98,24.55,414930.0,-0.0328
2020-05-07,24.83,25.56,27.79,24.38,497360.0,-0.0308
2020-05-08,26.17,24.81,26.29,24.73,392790.0,0.054
2020-05-11,25.08,25.91,26.73,24.79,436580.0,-0.0417
2020-05-12,26.33,25.39,26.87,25.15,459490.0,0.0498
2020-05-13,25.68,25.8,26.96,25.25,460740.0,-0.0247
2020-05-14,27.88,25.97,28.27,25.56,413440.0,0.0857
2020-05-15,29.52,28.02,29.82,27.53,425170.0,0.0588
2020-05-18,31.65,29.81,33.1,29.55,561530.0,0.0722
2020-05-19,31.96,32.39,32.91,31.13,430820.0,0.0098
2020-05-20,33.94,32.41,34.22,32.11,128950.0,0.062
2020-05-21,34.34,33.93,35.05,33.78,127180.0,0.0118
2020-05-22,33.65,34.41,34.48,31.28,137020.0,-0.0201
2020-05-24,32.9,33.38,33.42,32.5,,-0.0223
2020-05-25,33.92,32.92,34.18,32.72,,0.031
2020-05-26,34.77,33.77,35.16,32.9,137750.0,0.0251
2020-05-27,33.23,34.54,34.7,32.2,127380.0,-0.0443
2020-05-28,34.06,32.48,34.57,31.63,141690.0,0.025
2020-05-29,35.84,34.06,36.11,32.76,162340.0,0.0523
2020-06-01,35.79,35.62,36.23,34.65,140980.0,-0.0014
2020-06-02,37.06,35.94,37.29,35.64,123230.0,0.0355
2020-06-03,37.59,37.09,38.4,36.24,160900.0,0.0143
2020-06-04,37.72,37.06,37.91,36.71,109720.0,0.0035
2020-06-05,39.8,37.64,39.89,37.35,139940.0,0.0551
2020-06-08,38.43,39.67,40.69,38.24,151630.0,-0.0344
2020-06-09,39.16,38.51,39.31,37.33,140180.0,0.019
2020-06-10,39.78,38.72,40.07,37.98,136500.0,0.0158
2020-06-11,36.57,39.25,39.25,35.68,231680.0,-0.0807
2020-06-12,36.51,36.46,37.22,34.74,203850.0,-0.0016
2020-06-15,37.43,36.26,37.54,34.66,262240.0,0.0252
2020-06-16,38.65,37.38,39.36,36.67,299660.0,0.0326
2020-06-17,38.21,38.21,39.01,37.48,289580.0,-0.0114
2020-06-18,39.05,38.0,39.17,37.4,341480.0,0.022
2020-06-19,39.83,39.03,40.6,38.51,497180.0,0.02
2020-06-22,40.73,39.02,40.77,39.0,315260.0,0.0226
2020-06-23,40.51,40.78,41.74,39.9,102600.0,-0.0054
2020-06-24,38.21,40.16,40.68,37.52,163080.0,-0.0568
2020-06-25,38.91,38.26,39.38,37.32,136440.0,0.0183
2020-06-26,38.65,39.23,39.5,37.96,130780.0,-0.0067
2020-06-29,39.81,38.12,39.99,37.69,145180.0,0.03
2020-06-30,39.34,39.76,40.12,38.96,228320.0,-0.0118
2020-07-01,39.92,39.88,40.61,39.11,207270.0,0.0147
2020-07-02,40.76,39.85,40.84,39.57,151370.0,0.021
2020-07-03,40.28,40.23,40.5,39.86,,-0.0118
2020-07-06,40.73,40.43,41.19,39.95,166940.0,0.0112
2020-07-07,40.7,40.75,41.01,40.0,96870.0,-0.0007
2020-07-08,41.04,40.57,41.16,40.4,130350.0,0.0084
2020-07-09,39.83,41.03,41.12,39.45,170990.0,-0.0295
2020-07-10,40.76,39.83,40.92,38.77,185490.0,0.0233
2020-07-13,40.32,40.57,40.91,39.7,207200.0,-0.0108
2020-07-14,40.55,39.84,40.8,39.31,238300.0,0.0057
2020-07-15,41.4,40.79,41.46,40.32,248300.0,0.021
2020-07-16,40.93,41.19,41.38,40.69,203850.0,-0.0114
2020-07-17,40.75,40.9,41.05,40.18,272440.0,-0.0044
2020-07-20,40.92,40.77,41.02,39.97,329770.0,0.0042
2020-07-21,41.92,40.8,42.51,40.74,389120.0,0.0244
2020-07-22,42.04,41.68,42.16,41.31,93950.0,0.0029
2020-07-23,41.21,42.1,42.51,40.99,104700.0,-0.0197
2020-07-24,41.45,41.23,41.81,40.83,83040.0,0.0058
2020-07-27,41.8,41.45,41.99,40.69,119480.0,0.0084
2020-07-28,41.28,41.88,42.12,41.08,74000.0,-0.0124
2020-07-29,41.54,41.29,41.81,41.19,109960.0,0.0063
2020-07-30,40.24,41.59,41.64,39.0,162720.0,-0.0313
2020-07-31,40.57,40.65,40.86,39.96,102570.0,0.0082
2020-08-03,41.31,40.7,41.49,39.89,120590.0,0.0182
2020-08-04,41.91,41.08,42.28,40.43,191800.0,0.0145
2020-08-05,42.43,41.8,43.68,41.66,224290.0,0.0124
2020-08-06,42.2,42.42,42.87,41.89,115160.0,-0.0054
