Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,71.25,71.25,71.25,71.25,,-0.0024
2020-01-02,71.55,71.6,72.6,70.78,23800.0,0.0042
2020-01-03,68.55,70.6,70.9,68.55,25400.0,-0.0419
2020-01-06,68.62,68.95,69.22,67.55,20020.0,0.001
2020-01-07,69.22,68.62,69.35,68.03,23540.0,0.0087
2020-01-08,69.03,68.78,70.2,68.6,30280.0,-0.0027
2020-01-09,67.03,68.9,69.0,66.47,36760.0,-0.029
2020-01-10,67.25,67.33,68.22,66.88,31730.0,0.0033
2020-01-13,65.9,66.97,67.05,65.58,28890.0,-0.0201
2020-01-14,67.67,65.67,68.22,65.67,35080.0,0.0269
2020-01-15,67.88,67.6,68.05,66.78,17420.0,0.0031
2020-01-16,66.88,67.67,68.17,66.33,15660.0,-0.0147
2020-01-17,67.67,67.15,67.8,66.5,18700.0,0.0118
2020-01-21,67.35,67.58,68.0,66.42,14520.0,-0.0047
2020-01-22,67.55,67.62,67.95,66.9,7570.0,0.003
2020-01-23,68.5,67.45,69.0,67.28,11480.0,0.0141
2020-01-24,67.22,68.4,68.4,66.75,13160.0,-0.0187
2020-01-27,65.95,66.28,66.33,65.22,17010.0,-0.0189
2020-01-28,66.22,66.5,67.05,66.15,9080.0,0.0041
2020-01-29,64.3,66.5,66.6,64.12,12120.0,-0.029
2020-01-30,61.3,63.25,63.25,61.3,12110.0,-0.0467
2020-01-31,57.12,60.5,60.5,56.85,14640.0,-0.0682
2020-02-03,56.3,57.88,58.0,54.67,10200.0,-0.0144
2020-02-04,56.75,56.83,57.85,56.55,5770.0,0.008
2020-02-05,57.1,57.6,57.98,56.98,6020.0,0.0062
2020-02-06,57.7,56.85,58.27,56.77,6810.0,0.0105
2020-02-07,57.1,57.7,57.8,57.02,5240.0,-0.0104
2020-02-10,56.2,57.0,57.0,55.77,3160.0,-0.0158
2020-02-11,56.12,56.17,56.33,55.6,2940.0,-0.0014
2020-02-12,55.67,56.0,56.3,55.5,2510.0,-0.008
2020-02-13,56.0,55.73,56.12,55.65,1800.0,0.0059
2020-02-14,55.9,55.88,56.0,55.65,1160.0,-0.0018
2020-02-18,65.5,64.47,65.85,63.1,22220.0,0.1717
2020-02-19,67.58,66.1,68.25,65.78,25100.0,0.0318
2020-02-20,66.88,66.9,67.25,66.1,16760.0,-0.0104
2020-02-21,67.03,66.5,67.15,66.05,12020.0,0.0022
2020-02-24,64.62,65.0,65.35,64.08,20130.0,-0.036
2020-02-25,64.67,65.2,65.88,64.5,17020.0,0.0008
2020-02-26,65.15,64.67,65.95,64.22,18470.0,0.0074
2020-02-27,62.55,64.53,64.92,62.15,26610.0,-0.0399
2020-02-28,62.27,62.12,63.0,61.52,25830.0,-0.0045
2020-03-02,62.8,62.55,63.17,62.12,19140.0,0.0085
2020-03-03,63.55,63.7,64.83,63.23,24150.0,0.0119
2020-03-04,64.3,64.0,64.78,63.3,20320.0,0.0118
2020-03-05,65.38,64.12,65.47,63.65,19020.0,0.0168
2020-03-06,65.92,65.0,66.38,65.0,28160.0,0.0083
2020-03-09,63.0,62.92,65.22,62.92,35590.0,-0.0443
2020-03-10,65.0,64.62,66.0,64.5,33010.0,0.0317
2020-03-11,63.88,65.55,66.0,63.8,25780.0,-0.0172
2020-03-12,60.88,62.48,62.5,60.88,21340.0,-0.047
2020-03-13,56.38,62.83,62.85,56.38,22410.0,-0.0739
2020-03-16,53.98,52.3,56.58,52.12,29750.0,-0.0426
2020-03-17,58.48,55.5,58.48,55.5,11710.0,0.0834
2020-03-18,58.15,59.62,62.8,56.27,31380.0,-0.0056
2020-03-19,61.15,60.77,61.15,59.38,8510.0,0.0516
2020-03-20,61.58,62.75,63.85,61.45,10710.0,0.007
2020-03-23,64.58,64.0,64.58,63.17,4060.0,0.0487
2020-03-24,66.42,66.3,67.7,65.8,9790.0,0.0285
2020-03-25,65.85,66.97,67.45,65.15,7150.0,-0.0086
2020-03-26,62.9,65.2,65.25,62.85,7750.0,-0.0448
2020-03-27,58.45,62.23,62.23,58.4,7700.0,-0.0707
2020-03-30,53.95,58.1,58.25,53.95,10160.0,-0.077
2020-03-31,52.2,53.95,54.8,52.1,7490.0,-0.0324
2020-04-01,49.2,51.4,51.6,49.2,5820.0,-0.0575
2020-04-02,44.7,48.0,48.2,44.7,8510.0,-0.0915
2020-04-03,40.23,41.83,42.5,40.2,9030.0,-0.1
2020-04-06,41.12,40.23,42.75,37.5,9550.0,0.0221
2020-04-07,44.12,43.33,44.12,42.85,6100.0,0.073
2020-04-08,43.12,44.1,44.3,40.85,6540.0,-0.0227
2020-04-09,42.8,42.0,43.0,42.0,2770.0,-0.0074
2020-04-10,42.9,42.9,42.9,42.9,,0.0023
2020-04-13,44.9,41.9,45.0,41.9,4050.0,0.0466
2020-04-14,45.65,44.77,45.8,44.5,2770.0,0.0167
2020-04-15,45.6,45.75,46.05,45.5,1810.0,-0.0011
2020-04-16,37.33,39.3,39.77,37.0,320.0,-0.1814
2020-04-17,37.92,38.2,39.5,37.23,470.0,0.0158
2020-04-20,40.6,38.5,41.38,38.42,1350.0,0.0707
2020-04-21,44.27,40.6,44.35,40.58,1080.0,0.0904
2020-04-22,47.23,44.98,47.62,44.98,1760.0,0.0669
2020-04-23,50.98,47.98,50.98,47.98,2060.0,0.0794
2020-04-24,52.52,52.12,53.73,51.7,1290.0,0.0302
2020-04-27,56.27,54.3,56.27,53.8,1360.0,0.0714
2020-04-28,55.05,57.08,59.0,54.0,1660.0,-0.0217
2020-04-29,56.27,57.08,57.77,55.85,1070.0,0.0222
2020-04-30,59.12,57.42,59.48,57.4,1010.0,0.0506
2020-05-01,62.88,60.92,62.88,60.92,660.0,0.0636
2020-05-04,67.72,65.88,68.25,65.42,1270.0,0.077
2020-05-05,66.15,66.5,67.4,65.0,1300.0,-0.0232
2020-05-06,68.1,66.97,68.2,66.5,770.0,0.0295
2020-05-07,68.8,67.92,68.95,65.55,800.0,0.0103
2020-05-08,67.3,68.25,68.7,67.2,490.0,-0.0218
2020-05-11,66.33,67.1,67.75,66.22,1160.0,-0.0144
2020-05-12,68.03,67.58,68.08,67.33,460.0,0.0256
2020-05-13,68.0,67.5,68.28,67.25,710.0,-0.0004
2020-05-14,68.67,68.25,68.75,67.9,240.0,0.0099
2020-05-15,57.88,58.23,59.4,57.75,11610.0,-0.1571
2020-05-18,57.65,58.5,58.8,57.1,9450.0,-0.004
2020-05-19,56.65,57.6,58.65,56.55,6190.0,-0.0173
2020-05-20,56.88,56.05,57.05,55.75,5810.0,0.0041
2020-05-21,59.35,57.02,59.42,56.95,8180.0,0.0434
2020-05-22,58.77,59.02,59.73,58.55,5040.0,-0.0098
2020-05-26,60.5,59.3,61.3,58.8,6860.0,0.0294
2020-05-27,60.17,60.1,62.0,60.05,6530.0,-0.0055
2020-05-28,56.92,58.67,58.8,56.65,7600.0,-0.054
2020-05-29,56.85,56.45,56.92,55.92,5700.0,-0.0012
2020-06-01,54.6,55.27,55.85,54.45,5340.0,-0.0396
2020-06-02,52.4,54.02,54.4,52.08,6910.0,-0.0403
2020-06-03,48.65,51.33,51.45,48.65,6940.0,-0.0716
