Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,404.9,404.9,404.9,404.9,,-0.001
2020-01-02,406.7,404.0,412.0,402.0,160.0,0.0044
2020-01-03,403.6,406.0,409.1,402.9,120.0,-0.0076
2020-01-06,397.0,405.0,405.0,396.9,200.0,-0.0164
2020-01-07,395.4,393.2,400.0,393.0,110.0,-0.004
2020-01-08,398.0,395.4,402.9,394.0,130.0,0.0066
2020-01-09,391.1,400.1,401.6,387.3,90.0,-0.0173
2020-01-10,392.0,390.6,393.9,390.4,50.0,0.0023
2020-01-13,393.6,394.7,395.0,389.0,30.0,0.0041
2020-01-14,390.0,391.0,391.1,387.7,80.0,-0.0091
2020-01-15,388.6,390.0,398.0,388.5,40.0,-0.0036
2020-01-16,428.8,425.8,434.9,420.8,280.0,0.1034
2020-01-17,430.0,438.0,444.4,429.1,640.0,0.0028
2020-01-21,424.7,429.6,431.1,424.2,350.0,-0.0123
2020-01-22,425.2,425.9,432.7,423.8,230.0,0.0012
2020-01-23,426.0,425.9,426.8,420.2,240.0,0.0019
2020-01-24,426.2,425.3,432.3,425.3,320.0,0.0005
2020-01-27,420.8,420.0,422.9,417.2,520.0,-0.0127
2020-01-28,427.1,420.0,429.2,419.5,330.0,0.015
2020-01-29,428.0,427.1,432.8,426.1,230.0,0.0021
2020-01-30,436.1,427.6,438.9,424.2,450.0,0.0189
2020-01-31,435.5,436.6,438.4,430.0,440.0,-0.0014
2020-02-03,422.8,434.3,439.0,418.8,660.0,-0.0292
2020-02-04,412.7,419.5,422.4,407.0,1140.0,-0.0239
2020-02-05,428.3,415.6,429.5,413.9,690.0,0.0378
2020-02-06,433.2,428.1,434.9,428.1,360.0,0.0114
2020-02-07,440.2,432.5,443.9,432.5,500.0,0.0162
2020-02-10,446.0,440.2,450.9,440.2,720.0,0.0132
2020-02-11,451.4,445.1,454.0,442.5,550.0,0.0121
2020-02-12,454.5,451.0,457.0,447.9,490.0,0.0069
2020-02-13,455.1,456.2,459.9,453.5,500.0,0.0013
2020-02-14,449.3,451.5,452.8,445.9,250.0,-0.0127
2020-02-18,446.1,448.4,452.0,444.8,220.0,-0.0071
2020-02-19,460.3,451.2,464.1,451.2,540.0,0.0318
2020-02-20,463.0,465.0,468.3,460.7,500.0,0.0059
2020-02-21,460.1,462.0,464.5,459.2,370.0,-0.0063
2020-02-24,443.1,449.0,451.3,442.1,560.0,-0.0369
2020-02-25,435.3,440.2,442.8,433.2,430.0,-0.0176
2020-02-26,427.5,442.1,442.4,423.2,440.0,-0.0179
2020-02-27,412.0,418.9,419.1,409.5,390.0,-0.0363
2020-02-28,399.4,404.4,404.4,394.0,460.0,-0.0306
2020-03-02,415.6,402.9,416.1,397.7,110.0,0.0406
2020-03-03,404.1,416.5,420.5,401.5,110.0,-0.0277
2020-03-04,410.2,403.1,413.5,398.5,60.0,0.0151
2020-03-05,407.5,404.0,411.0,404.0,100.0,-0.0066
2020-03-06,400.4,406.7,406.7,394.1,90.0,-0.0174
2020-03-09,370.4,391.4,399.1,370.4,60.0,-0.0749
2020-03-10,378.8,377.6,378.8,370.3,40.0,0.0227
2020-03-11,373.5,373.4,382.7,371.0,40.0,-0.014
2020-03-12,330.1,330.0,360.0,330.0,20.0,-0.1162
2020-03-13,350.0,343.0,350.0,335.0,10.0,0.0603
2020-03-16,325.0,325.0,325.0,325.0,60.0,-0.0714
2020-03-17,310.0,318.5,318.5,305.3,530.0,-0.0462
2020-03-18,303.4,305.4,309.9,292.9,430.0,-0.0213
2020-03-19,319.8,306.4,321.4,306.4,290.0,0.0541
2020-03-20,322.3,325.9,335.4,319.0,290.0,0.0078
2020-03-23,320.2,321.4,326.8,310.9,160.0,-0.0065
2020-03-24,321.5,328.9,329.4,317.0,200.0,0.0041
2020-03-25,311.6,319.6,320.0,307.9,210.0,-0.0308
2020-03-26,320.8,316.3,322.2,311.3,200.0,0.0295
2020-03-27,311.3,312.4,317.7,308.0,200.0,-0.0296
2020-03-30,296.5,305.5,307.1,296.0,220.0,-0.0475
2020-03-31,278.5,293.0,293.0,278.5,370.0,-0.0607
