Date,Price,Open,High,Low,Vol.,Change %
2020-01-02,298.0,292.25,298.0,291.0,270.0,0.0205
2020-01-03,290.75,298.0,301.25,288.0,390.0,-0.0243
2020-01-06,294.25,290.0,295.0,287.75,150.0,0.012
2020-01-07,293.25,295.0,295.0,290.0,150.0,-0.0034
2020-01-08,299.0,293.5,300.25,292.0,310.0,0.0196
2020-01-09,302.0,298.75,302.75,296.5,420.0,0.01
2020-01-10,308.5,302.75,309.0,302.0,320.0,0.0215
2020-01-13,311.0,308.5,311.5,306.0,430.0,0.0081
2020-01-14,313.0,311.0,316.0,309.25,500.0,0.0064
2020-01-15,305.75,311.75,314.25,303.25,520.0,-0.0232
2020-01-16,305.5,307.75,307.75,303.75,380.0,-0.0008
2020-01-17,311.75,305.75,312.0,305.75,280.0,0.0205
2020-01-21,314.75,311.25,315.0,309.25,290.0,0.0096
2020-01-22,313.25,314.75,315.0,311.5,210.0,-0.0048
2020-01-23,316.5,314.0,317.0,312.25,330.0,0.0104
2020-01-24,303.25,315.5,316.75,303.0,810.0,-0.0419
2020-01-27,300.5,303.75,305.25,298.75,510.0,-0.0091
2020-01-28,307.0,302.5,312.0,299.75,640.0,0.0216
2020-01-29,307.75,309.0,309.0,306.5,240.0,0.0024
2020-01-30,305.5,308.25,308.25,303.75,420.0,-0.0073
2020-01-31,303.75,306.0,307.75,302.25,570.0,-0.0057
2020-02-03,300.25,302.75,310.0,297.5,770.0,-0.0115
2020-02-04,308.0,298.75,309.0,298.25,350.0,0.0258
2020-02-05,304.5,308.0,309.75,304.0,300.0,-0.0114
2020-02-06,304.75,305.75,306.0,302.75,300.0,0.0008
2020-02-07,303.0,304.5,305.0,302.25,170.0,-0.0057
2020-02-10,301.75,303.0,303.5,297.75,470.0,-0.0041
2020-02-11,299.25,302.0,302.0,298.25,270.0,-0.0083
2020-02-12,304.0,300.5,306.75,298.25,510.0,0.0159
2020-02-13,295.75,301.75,302.5,294.25,630.0,-0.0271
2020-02-14,296.0,296.5,297.75,293.75,310.0,0.0008
2020-02-18,303.5,296.5,304.75,295.0,790.0,0.0253
2020-02-19,301.25,302.0,305.0,300.75,410.0,-0.0074
2020-02-20,298.5,304.5,304.5,297.5,480.0,-0.0091
2020-02-21,296.0,298.25,299.75,293.5,480.0,-0.0084
2020-02-24,286.0,294.25,296.25,285.5,410.0,-0.0338
2020-02-25,285.0,287.75,290.0,284.0,480.0,-0.0035
2020-02-26,278.75,284.5,286.5,276.5,320.0,-0.0219
2020-02-27,273.5,277.0,280.25,268.0,190.0,-0.0188
