Date,Price,Open,High,Low,Vol.,Change %
2020-01-02,100.75,99.75,101.5,99.75,920.0,0.01
2020-01-03,99.4,101.0,101.3,99.2,430.0,-0.0134
2020-01-06,99.0,99.1,99.7,98.1,820.0,-0.004
2020-01-07,99.65,99.25,100.4,98.45,570.0,0.0066
2020-01-08,98.95,99.8,100.05,98.65,470.0,-0.007
2020-01-09,97.0,99.3,99.3,96.75,1230.0,-0.0197
2020-01-10,97.1,97.0,97.45,96.3,910.0,0.001
2020-01-13,98.6,99.7,100.15,98.4,140.0,0.0154
2020-01-14,99.7,98.5,99.8,97.9,120.0,0.0112
2020-01-15,99.75,99.85,100.25,99.25,140.0,0.0005
2020-01-16,99.1,100.0,100.35,99.0,220.0,-0.0065
2020-01-17,98.55,99.05,99.1,98.5,90.0,-0.0055
2020-01-21,99.35,98.55,99.75,98.55,100.0,0.0081
2020-01-22,100.2,99.35,100.75,97.95,220.0,0.0086
2020-01-23,98.8,100.75,100.8,98.65,100.0,-0.014
2020-01-24,99.3,98.8,100.05,98.8,90.0,0.0051
2020-01-27,98.65,99.2,99.6,98.55,80.0,-0.0065
2020-01-28,99.5,99.3,99.85,99.15,70.0,0.0086
2020-01-29,100.25,99.95,101.0,99.9,100.0,0.0075
2020-01-30,99.0,99.85,100.5,98.85,270.0,-0.0125
2020-01-31,99.5,99.15,100.25,99.1,140.0,0.0051
2020-02-03,98.3,99.4,99.4,97.95,350.0,-0.0121
2020-02-04,97.45,98.35,98.35,95.55,600.0,-0.0086
2020-02-05,97.3,97.0,97.9,97.0,350.0,-0.0015
2020-02-06,98.2,97.8,98.35,97.55,340.0,0.0092
2020-02-07,98.35,98.4,98.45,98.0,710.0,0.0015
2020-02-10,101.25,98.5,101.4,98.1,490.0,0.0295
2020-02-11,102.3,101.4,102.55,101.25,520.0,0.0104
2020-02-12,100.75,102.5,102.75,100.35,1540.0,-0.0152
2020-02-13,101.7,100.75,102.1,100.5,1420.0,0.0094
2020-02-14,101.5,101.5,101.7,100.45,1640.0,-0.002
2020-02-18,100.75,101.05,101.5,100.35,1690.0,-0.0074
2020-02-19,102.2,100.7,102.75,100.7,1610.0,0.0144
2020-02-20,100.3,102.4,102.4,99.55,1510.0,-0.0186
2020-02-21,100.85,99.85,101.55,99.85,1480.0,0.0055
2020-02-24,99.6,99.75,100.1,99.15,2670.0,-0.0124
2020-02-25,99.35,99.7,99.95,99.0,1310.0,-0.0025
2020-02-26,97.15,99.75,99.8,97.05,1720.0,-0.0221
2020-02-27,95.05,97.45,97.6,95.0,1920.0,-0.0216
2020-02-28,95.95,95.0,96.1,92.15,1930.0,0.0095
2020-03-02,99.4,96.0,99.5,96.0,2220.0,0.036
2020-03-03,98.35,99.1,99.45,98.0,730.0,-0.0106
2020-03-04,98.4,98.5,99.0,98.0,320.0,0.0005
2020-03-05,97.25,98.0,98.55,97.05,720.0,-0.0117
2020-03-06,96.7,97.0,97.75,96.6,520.0,-0.0057
2020-03-09,94.05,96.5,97.45,93.9,1330.0,-0.0274
2020-03-10,96.2,94.8,96.65,94.15,1030.0,0.0229
2020-03-11,97.9,95.75,98.0,95.5,1150.0,0.0177
2020-03-12,98.55,98.95,99.3,97.8,280.0,0.0066
2020-03-13,100.2,98.5,100.5,98.45,340.0,0.0167
2020-03-16,100.1,100.35,100.35,99.1,270.0,-0.001
2020-03-17,101.8,100.15,102.5,100.1,150.0,0.017
2020-03-18,98.45,102.05,102.1,97.4,480.0,-0.0329
2020-03-19,99.95,98.95,101.5,98.95,190.0,0.0152
2020-03-20,105.6,101.0,106.1,100.95,600.0,0.0565
2020-03-23,109.55,105.5,110.0,105.5,740.0,0.0374
2020-03-24,114.0,109.0,114.5,109.0,870.0,0.0406
2020-03-25,117.95,114.5,118.0,113.65,740.0,0.0346
2020-03-26,117.95,117.95,119.15,117.1,440.0,0.0
2020-03-27,117.65,118.75,119.35,116.5,470.0,-0.0025
2020-03-30,120.1,118.35,120.3,116.55,260.0,0.0208
2020-03-31,120.4,120.1,121.0,119.5,380.0,0.0025
2020-04-01,119.3,120.15,120.15,118.0,280.0,-0.0091
2020-04-02,116.45,119.85,119.9,111.6,460.0,-0.0239
2020-04-03,114.0,115.0,115.0,112.0,430.0,-0.021
2020-04-06,111.9,113.0,113.0,110.0,350.0,-0.0184
2020-04-07,108.3,110.8,110.8,108.05,400.0,-0.0322
2020-04-08,105.2,109.25,110.0,104.6,980.0,-0.0286
2020-04-09,110.95,105.9,111.9,105.6,460.0,0.0547
2020-04-13,106.55,110.65,111.0,106.0,440.0,-0.0397
2020-04-14,108.25,107.5,109.1,106.45,310.0,0.016
2020-04-15,108.9,106.85,109.8,106.0,360.0,0.006
2020-04-16,109.2,109.7,110.6,109.0,350.0,0.0028
2020-04-17,107.4,109.0,110.0,106.55,350.0,-0.0165
2020-04-20,107.65,107.05,108.25,105.8,470.0,0.0023
2020-04-21,106.9,107.25,107.35,106.0,390.0,-0.007
2020-04-22,107.25,107.3,108.6,107.1,350.0,0.0033
2020-04-23,107.75,107.85,110.0,106.75,540.0,0.0047
2020-04-24,108.6,107.75,109.5,107.7,410.0,0.0079
2020-04-27,112.2,109.1,112.75,109.0,690.0,0.0331
2020-04-28,114.1,112.65,114.5,112.0,840.0,0.0169
2020-04-29,114.0,114.45,115.25,112.65,560.0,-0.0009
2020-04-30,111.25,114.35,114.7,110.35,690.0,-0.0241
2020-05-01,113.1,111.05,114.2,110.75,360.0,0.0166
2020-05-04,116.8,113.15,117.0,113.15,620.0,0.0327
2020-05-05,117.4,116.5,117.6,115.75,510.0,0.0051
2020-05-06,119.35,117.2,119.8,117.0,740.0,0.0166
2020-05-07,119.35,120.0,120.0,118.45,520.0,0.0
2020-05-08,119.45,119.35,120.5,117.55,740.0,0.0008
2020-05-11,116.65,118.2,118.2,115.75,120.0,-0.0234
