Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,34.82,34.82,34.82,34.82,,0.0014
2020-01-02,35.24,35.11,35.67,35.11,64780.0,0.0121
2020-01-03,35.08,35.28,35.4,34.75,65670.0,-0.0045
2020-01-06,34.52,34.92,35.18,34.48,56570.0,-0.016
2020-01-07,34.74,34.52,34.78,34.44,54350.0,0.0064
2020-01-08,34.56,34.74,35.06,34.47,76230.0,-0.0052
2020-01-09,34.64,34.58,34.95,34.52,63960.0,0.0023
2020-01-10,34.35,34.72,34.89,34.22,90980.0,-0.0084
2020-01-13,33.95,34.45,34.55,33.9,60490.0,-0.0116
2020-01-14,34.07,33.98,34.15,33.51,72200.0,0.0035
2020-01-15,33.64,34.38,34.43,33.58,36450.0,-0.0126
2020-01-16,33.37,33.65,33.78,33.23,27690.0,-0.008
2020-01-17,33.67,33.42,33.74,33.1,24040.0,0.009
2020-01-21,33.09,33.74,33.92,32.93,27940.0,-0.0172
2020-01-22,33.35,33.14,33.7,32.95,27420.0,0.0079
2020-01-23,32.82,33.35,33.38,32.79,24340.0,-0.0159
2020-01-24,32.37,32.87,32.87,32.2,29340.0,-0.0137
2020-01-27,31.88,32.25,32.3,31.08,42350.0,-0.0151
2020-01-28,31.83,31.95,31.97,30.93,39420.0,-0.0016
2020-01-29,31.88,31.84,32.47,31.69,34100.0,0.0016
2020-01-30,31.0,31.94,32.03,30.94,31840.0,-0.0276
2020-01-31,30.3,31.15,31.33,30.25,38310.0,-0.0226
2020-02-03,30.65,30.3,30.77,30.16,49510.0,0.0116
2020-02-04,31.1,30.58,31.41,30.54,58210.0,0.0147
2020-02-05,31.69,31.23,32.07,31.05,47430.0,0.019
2020-02-06,31.61,31.79,32.33,31.53,36010.0,-0.0025
2020-02-07,31.34,31.87,31.87,31.12,53340.0,-0.0085
2020-02-10,30.99,31.38,31.63,30.89,63730.0,-0.0112
2020-02-11,31.08,31.08,31.32,30.77,53860.0,0.0029
2020-02-12,31.4,31.11,31.44,30.91,44220.0,0.0103
2020-02-13,31.09,31.4,31.4,30.78,60260.0,-0.0099
2020-02-14,30.94,31.09,31.38,30.89,30190.0,-0.0048
