Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,943.5,943.5,943.5,943.5,,0.0005
2020-01-02,944.25,943.25,949.0,941.5,2220.0,0.0008
2020-01-03,930.5,944.5,945.25,926.75,2270.0,-0.0146
2020-01-06,932.75,929.25,936.5,929.0,1520.0,0.0024
2020-01-07,935.0,933.5,934.75,928.75,870.0,0.0024
2020-01-08,938.25,936.25,940.0,935.75,580.0,0.0035
2020-01-09,933.75,943.25,943.25,931.0,350.0,-0.0048
2020-01-10,935.0,931.5,935.5,927.5,200.0,0.0013
2020-01-13,929.25,938.5,938.5,929.5,80.0,-0.0061
2020-01-14,928.5,929.0,934.75,929.0,50.0,-0.0008
2020-01-15,928.75,942.0,943.25,928.25,119740.0,0.0003
2020-01-16,924.0,929.75,930.25,922.0,102000.0,-0.0051
2020-01-17,929.75,924.5,933.5,920.0,90940.0,0.0062
2020-01-21,916.0,930.0,931.5,915.25,119960.0,-0.0148
2020-01-22,913.75,917.0,922.0,913.25,92150.0,-0.0025
2020-01-23,909.5,914.0,914.75,904.0,98540.0,-0.0047
2020-01-24,902.0,909.25,909.25,900.75,77350.0,-0.0082
2020-01-27,897.25,899.25,900.0,888.25,107840.0,-0.0053
2020-01-28,895.0,897.5,898.0,888.5,86750.0,-0.0025
2020-01-29,893.0,896.0,903.0,890.75,77350.0,-0.0022
2020-01-30,876.25,893.5,893.75,875.5,123090.0,-0.0188
2020-01-31,872.5,880.0,882.75,872.25,88320.0,-0.0043
2020-02-03,877.0,870.75,878.75,868.75,138980.0,0.0052
2020-02-04,879.5,876.25,887.0,873.75,102450.0,0.0029
2020-02-05,880.0,880.0,888.0,878.0,75260.0,0.0006
2020-02-06,881.0,880.0,886.25,876.75,110540.0,0.0011
2020-02-07,882.0,883.25,884.75,876.25,124920.0,0.0011
2020-02-10,884.25,883.0,889.75,879.5,145120.0,0.0026
2020-02-11,884.75,885.75,889.0,878.0,134300.0,0.0006
2020-02-12,892.5,885.5,893.0,881.5,163370.0,0.0088
2020-02-13,896.25,891.0,899.75,888.5,193430.0,0.0042
2020-02-14,893.75,896.25,899.25,890.0,130580.0,-0.0028
2020-02-16,892.5,892.62,892.62,892.5,,-0.0014
2020-02-18,892.25,894.75,898.5,889.25,133200.0,-0.0003
2020-02-19,897.25,892.25,898.25,885.0,142100.0,0.0056
