Date,Price,Open,High,Low,Vol.,Change %
2020-01-02,2532.0,2524.0,2565.0,2506.0,9280.0,-0.0031
2020-01-03,2519.0,2534.0,2576.0,2516.0,8820.0,-0.0051
2020-01-06,2484.0,2515.0,2518.0,2467.0,10650.0,-0.0139
2020-01-07,2533.0,2490.0,2549.0,2477.0,10410.0,0.0197
2020-01-08,2501.0,2530.0,2535.0,2497.0,11110.0,-0.0126
2020-01-09,2554.0,2496.0,2563.0,2496.0,13060.0,0.0212
2020-01-10,2589.0,2563.0,2610.0,2556.0,14950.0,0.0137
2020-01-13,2583.0,2596.0,2600.0,2557.0,12540.0,-0.0023
2020-01-14,2655.0,2618.0,2668.0,2605.0,13910.0,0.0279
2020-01-15,2689.0,2664.0,2722.0,2644.0,16090.0,0.0128
2020-01-16,2712.0,2712.0,2729.0,2693.0,16080.0,0.0086
2020-01-17,2797.0,2699.0,2808.0,2682.0,19300.0,0.0313
2020-01-21,2818.0,2804.0,2829.0,2776.0,11480.0,0.0075
2020-01-22,2803.0,2819.0,2859.0,2789.0,12990.0,-0.0053
2020-01-23,2771.0,2792.0,2798.0,2762.0,15340.0,-0.0114
2020-01-24,2733.0,2783.0,2792.0,2729.0,13040.0,-0.0137
2020-01-27,2734.0,2730.0,2776.0,2697.0,13600.0,0.0004
2020-01-28,2703.0,2739.0,2767.0,2680.0,13090.0,-0.0113
2020-01-29,2727.0,2703.0,2743.0,2673.0,12880.0,0.0089
2020-01-30,2801.0,2745.0,2826.0,2741.0,20190.0,0.0271
2020-01-31,2777.0,2790.0,2810.0,2763.0,24490.0,-0.0086
2020-02-03,2734.0,2753.0,2777.0,2711.0,33920.0,-0.0155
2020-02-04,2757.0,2731.0,2772.0,2717.0,26610.0,0.0084
2020-02-05,2790.0,2764.0,2812.0,2758.0,37360.0,0.012
2020-02-06,2849.0,2789.0,2863.0,2760.0,42430.0,0.0211
2020-02-07,2898.0,2881.0,2935.0,2881.0,46360.0,0.0172
2020-02-10,2878.0,2898.0,2930.0,2871.0,40670.0,-0.0069
2020-02-11,2876.0,2871.0,2922.0,2869.0,33150.0,-0.0007
2020-02-12,2868.0,2879.0,2909.0,2855.0,29340.0,-0.0028
2020-02-13,2895.0,2852.0,2905.0,2848.0,22600.0,0.0094
2020-02-14,2886.0,2893.0,2921.0,2876.0,14810.0,-0.0031
2020-02-18,2846.0,2899.0,2903.0,2827.0,19870.0,-0.0139
2020-02-19,2847.0,2861.0,2886.0,2841.0,14690.0,0.0004
2020-02-20,2860.0,2847.0,2878.0,2821.0,15690.0,0.0046
2020-02-21,2843.0,2865.0,2883.0,2830.0,13300.0,-0.0059
2020-02-24,2801.0,2819.0,2824.0,2771.0,21170.0,-0.0148
2020-02-25,2806.0,2825.0,2834.0,2790.0,13210.0,0.0018
2020-02-26,2739.0,2792.0,2799.0,2727.0,17660.0,-0.0239
2020-02-27,2745.0,2737.0,2758.0,2718.0,18030.0,0.0022
2020-02-28,2672.0,2718.0,2725.0,2646.0,29460.0,-0.0266
2020-03-02,2661.0,2681.0,2690.0,2624.0,27940.0,-0.0041
2020-03-03,2653.0,2658.0,2666.0,2630.0,20890.0,-0.003
2020-03-04,2626.0,2646.0,2661.0,2620.0,16690.0,-0.0102
2020-03-05,2597.0,2626.0,2633.0,2581.0,19990.0,-0.011
2020-03-06,2561.0,2590.0,2597.0,2556.0,23420.0,-0.0139
2020-03-09,2545.0,2536.0,2573.0,2509.0,25680.0,-0.0062
2020-03-10,2577.0,2543.0,2604.0,2535.0,29840.0,0.0126
2020-03-11,2625.0,2605.0,2644.0,2581.0,22810.0,0.0186
2020-03-12,2495.0,2575.0,2581.0,2492.0,29290.0,-0.0495
2020-03-13,2425.0,2500.0,2510.0,2423.0,29740.0,-0.0281
2020-03-16,2331.0,2405.0,2408.0,2320.0,34560.0,-0.0388
2020-03-17,2318.0,2315.0,2325.0,2249.0,20510.0,-0.0056
2020-03-18,2284.0,2318.0,2364.0,2271.0,20470.0,-0.0147
2020-03-19,2216.0,2242.0,2268.0,2204.0,22110.0,-0.0298
2020-03-20,2230.0,2241.0,2271.0,2183.0,20480.0,0.0063
2020-03-23,2257.0,2202.0,2268.0,2198.0,11400.0,0.0121
2020-03-24,2275.0,2276.0,2299.0,2239.0,10430.0,0.008
2020-03-25,2248.0,2300.0,2310.0,2236.0,11890.0,-0.0119
2020-03-26,2255.0,2248.0,2264.0,2211.0,12120.0,0.0031
2020-03-27,2257.0,2252.0,2268.0,2229.0,13360.0,0.0009
2020-03-30,2265.0,2242.0,2301.0,2242.0,12720.0,0.0035
2020-03-31,2249.0,2257.0,2267.0,2227.0,12970.0,-0.0071
2020-04-01,2227.0,2234.0,2248.0,2215.0,11610.0,-0.0098
2020-04-02,2285.0,2253.0,2289.0,2229.0,17250.0,0.026
2020-04-03,2264.0,2269.0,2299.0,2243.0,14060.0,-0.0092
2020-04-06,2366.0,2284.0,2392.0,2267.0,23570.0,0.0451
2020-04-07,2392.0,2365.0,2402.0,2365.0,27730.0,0.011
2020-04-08,2372.0,2390.0,2395.0,2360.0,16750.0,-0.0084
2020-04-09,2311.0,2379.0,2387.0,2305.0,20110.0,-0.0257
2020-04-13,2272.0,2311.0,2327.0,2259.0,13850.0,-0.0169
2020-04-14,2288.0,2282.0,2303.0,2271.0,16280.0,0.007
2020-04-15,2229.0,2268.0,2268.0,2215.0,15590.0,-0.0258
2020-04-16,2258.0,2245.0,2272.0,2225.0,10480.0,0.013
2020-04-17,2368.0,2265.0,2369.0,2258.0,15890.0,0.0487
2020-04-20,2358.0,2354.0,2361.0,2325.0,9710.0,-0.0042
2020-04-21,2318.0,2340.0,2348.0,2294.0,11490.0,-0.017
2020-04-22,2375.0,2337.0,2387.0,2320.0,16510.0,0.0246
2020-04-23,2363.0,2365.0,2387.0,2352.0,13090.0,-0.0051
2020-04-24,2323.0,2355.0,2360.0,2309.0,11270.0,-0.0169
2020-04-27,2330.0,2341.0,2354.0,2310.0,9240.0,0.003
2020-04-28,2342.0,2327.0,2383.0,2321.0,11420.0,0.0052
2020-04-29,2377.0,2356.0,2384.0,2351.0,7920.0,0.0149
2020-04-30,2414.0,2380.0,2425.0,2360.0,19450.0,0.0156
2020-05-01,2402.0,2408.0,2422.0,2386.0,16430.0,-0.005
2020-05-04,2387.0,2389.0,2399.0,2341.0,13530.0,-0.0062
2020-05-05,2378.0,2387.0,2421.0,2363.0,12250.0,-0.0038
2020-05-06,2363.0,2368.0,2383.0,2332.0,14590.0,-0.0063
2020-05-07,2381.0,2375.0,2400.0,2349.0,12740.0,0.0076
2020-05-08,2400.0,2376.0,2410.0,2367.0,7500.0,0.008
2020-05-11,2463.0,2395.0,2474.0,2388.0,20030.0,0.0263
2020-05-12,2402.0,2481.0,2487.0,2342.0,21570.0,-0.0248
2020-05-13,2456.0,2400.0,2466.0,2379.0,17530.0,0.0225
2020-05-14,2413.0,2460.0,2470.0,2405.0,8640.0,-0.0175
2020-05-15,2399.0,2428.0,2433.0,2383.0,4830.0,-0.0058
2020-05-18,2404.0,2393.0,2416.0,2376.0,4560.0,0.0021
2020-05-19,2435.0,2401.0,2445.0,2392.0,3770.0,0.0129
2020-05-20,2401.0,2430.0,2461.0,2393.0,6700.0,-0.014
2020-05-21,2340.0,2397.0,2411.0,2326.0,10870.0,-0.0254
2020-05-22,2394.0,2330.0,2406.0,2318.0,13000.0,0.0231
2020-05-26,2394.0,2393.0,2448.0,2391.0,11650.0,0.0
2020-05-27,2363.0,2401.0,2412.0,2343.0,8440.0,-0.0129
2020-05-28,2429.0,2349.0,2435.0,2346.0,9810.0,0.0279
2020-05-29,2454.0,2425.0,2463.0,2392.0,12390.0,0.0103
2020-06-01,2493.0,2444.0,2509.0,2435.0,14020.0,0.0159
2020-06-02,2402.0,2497.0,2502.0,2395.0,17730.0,-0.0365
2020-06-03,2395.0,2412.0,2433.0,2372.0,15710.0,-0.0029
2020-06-04,2396.0,2400.0,2430.0,2385.0,13620.0,0.0004
2020-06-05,2398.0,2414.0,2425.0,2396.0,19910.0,0.0008
2020-06-08,2413.0,2395.0,2432.0,2383.0,22800.0,0.0063
2020-06-09,2484.0,2416.0,2508.0,2405.0,34630.0,0.0294
2020-06-10,2394.0,2421.0,2425.0,2381.0,18810.0,-0.0362
2020-06-11,2291.0,2370.0,2383.0,2279.0,26840.0,-0.043
2020-06-12,2319.0,2295.0,2347.0,2283.0,19780.0,0.0122
2020-06-15,2266.0,2307.0,2307.0,2226.0,20160.0,-0.0229
2020-06-16,2269.0,2293.0,2320.0,2263.0,14990.0,0.0013
2020-06-17,2230.0,2261.0,2273.0,2218.0,13770.0,-0.0172
2020-06-18,2270.0,2242.0,2272.0,2209.0,13930.0,0.0179
2020-06-19,2252.0,2262.0,2289.0,2243.0,10270.0,-0.0079
2020-06-22,2270.0,2246.0,2282.0,2219.0,9880.0,0.008
2020-06-23,2290.0,2274.0,2316.0,2249.0,11380.0,0.0088
2020-06-24,2306.0,2286.0,2328.0,2286.0,9800.0,0.007
2020-06-25,2386.0,2310.0,2396.0,2307.0,20190.0,0.0347
2020-06-26,2277.0,2386.0,2397.0,2262.0,21060.0,-0.0457
2020-06-29,2238.0,2279.0,2279.0,2223.0,16850.0,-0.0171
2020-06-30,2186.0,2243.0,2250.0,2172.0,21820.0,-0.0232
2020-07-01,2169.0,2182.0,2191.0,2158.0,18820.0,-0.0078
2020-07-02,2179.0,2182.0,2219.0,2162.0,16590.0,0.0046
2020-07-06,2152.0,2158.0,2175.0,2139.0,18650.0,-0.0124
2020-07-07,2148.0,2148.0,2163.0,2130.0,14500.0,-0.0019
2020-07-08,2100.0,2142.0,2148.0,2092.0,16670.0,-0.0223
2020-07-09,2149.0,2122.0,2150.0,2097.0,14210.0,0.0233
2020-07-10,2160.0,2150.0,2179.0,2141.0,11330.0,0.0051
2020-07-13,2193.0,2163.0,2197.0,2148.0,12750.0,0.0153
2020-07-14,2155.0,2177.0,2177.0,2138.0,11460.0,-0.0173
2020-07-15,2135.0,2163.0,2174.0,2126.0,12840.0,-0.0093
2020-07-16,2161.0,2135.0,2175.0,2115.0,12620.0,0.0122
2020-07-17,2160.0,2169.0,2212.0,2157.0,7190.0,-0.0005
2020-07-20,2219.0,2162.0,2226.0,2137.0,11030.0,0.0273
2020-07-21,2176.0,2215.0,2258.0,2173.0,9530.0,-0.0194
2020-07-22,2205.0,2186.0,2219.0,2164.0,4350.0,0.0133
2020-07-23,2202.0,2210.0,2229.0,2176.0,6000.0,-0.0014
2020-07-24,2224.0,2190.0,2250.0,2188.0,5920.0,0.01
2020-07-27,2286.0,2229.0,2301.0,2228.0,10840.0,0.0279
2020-07-28,2291.0,2294.0,2307.0,2254.0,7540.0,0.0022
2020-07-29,2341.0,2300.0,2365.0,2299.0,11570.0,0.0218
2020-07-30,2344.0,2329.0,2394.0,2329.0,14190.0,0.0013
2020-07-31,2400.0,2371.0,2419.0,2358.0,18130.0,0.0239
2020-08-03,2469.0,2404.0,2481.0,2396.0,22860.0,0.0288
2020-08-04,2449.0,2471.0,2485.0,2438.0,23310.0,-0.0081
2020-08-05,2481.0,2454.0,2498.0,2448.0,23630.0,0.0131
2020-08-06,2510.0,2481.0,2545.0,2478.0,31660.0,0.0117
2020-08-07,2546.0,2533.0,2552.0,2508.0,31850.0,0.0143
2020-08-10,2488.0,2519.0,2535.0,2466.0,31590.0,-0.0228
2020-08-11,2448.0,2475.0,2475.0,2427.0,31250.0,-0.0161
2020-08-12,2465.0,2445.0,2480.0,2445.0,18700.0,0.0069
2020-08-13,2480.0,2456.0,2496.0,2456.0,19530.0,0.0061
2020-08-14,2454.0,2481.0,2528.0,2448.0,28390.0,-0.0105
2020-08-17,2429.0,2446.0,2460.0,2415.0,22110.0,-0.0102
2020-08-18,2445.0,2427.0,2450.0,2412.0,13500.0,0.0066
2020-08-19,2460.0,2445.0,2465.0,2422.0,13260.0,0.0061
2020-08-20,2400.0,2448.0,2479.0,2393.0,14840.0,-0.0244
2020-08-21,2409.0,2400.0,2419.0,2355.0,15640.0,0.0038
2020-08-24,2459.0,2408.0,2475.0,2402.0,15670.0,0.0208
2020-08-25,2487.0,2486.0,2514.0,2479.0,13480.0,0.0114
2020-08-26,2476.0,2500.0,2509.0,2452.0,11300.0,-0.0044
2020-08-27,2539.0,2477.0,2566.0,2477.0,19680.0,0.0254
2020-08-28,2623.0,2565.0,2635.0,2539.0,22890.0,0.0331
2020-08-31,2654.0,2626.0,2673.0,2626.0,13980.0,0.0118
2020-09-01,2666.0,2664.0,2684.0,2651.0,19310.0,0.0045
2020-09-02,2681.0,2662.0,2700.0,2639.0,15290.0,0.0056
2020-09-03,2634.0,2700.0,2708.0,2624.0,17820.0,-0.0175
2020-09-04,2595.0,2634.0,2654.0,2586.0,17520.0,-0.0148
2020-09-08,2555.0,2576.0,2582.0,2521.0,19010.0,-0.0154
2020-09-09,2562.0,2558.0,2572.0,2539.0,13990.0,0.0027
2020-09-10,2537.0,2568.0,2583.0,2530.0,12030.0,-0.0098
2020-09-11,2548.0,2537.0,2569.0,2529.0,8930.0,0.0043
2020-09-14,2556.0,2554.0,2585.0,2547.0,12490.0,0.0031
2020-09-15,2694.0,2564.0,2698.0,2563.0,35170.0,0.054
2020-09-16,2602.0,2689.0,2695.0,2592.0,10410.0,-0.0341
2020-09-17,2600.0,2600.0,2678.0,2577.0,6630.0,-0.0008
2020-09-18,2641.0,2618.0,2671.0,2614.0,6050.0,0.0158
2020-09-21,2629.0,2654.0,2707.0,2608.0,8920.0,-0.0045
2020-09-22,2556.0,2643.0,2649.0,2547.0,9680.0,-0.0278
2020-09-23,2580.0,2553.0,2598.0,2542.0,7800.0,0.0094
2020-09-24,2599.0,2577.0,2643.0,2575.0,7820.0,0.0074
2020-09-25,2568.0,2617.0,2624.0,2548.0,6660.0,-0.0119
2020-09-28,2587.0,2579.0,2640.0,2576.0,8400.0,0.0074
2020-09-29,2588.0,2581.0,2599.0,2542.0,7810.0,0.0004
2020-09-30,2546.0,2589.0,2615.0,2527.0,6920.0,-0.0162
2020-10-01,2508.0,2526.0,2527.0,2461.0,12550.0,-0.0149
2020-10-02,2482.0,2480.0,2505.0,2442.0,8360.0,-0.0104
2020-10-05,2459.0,2469.0,2498.0,2445.0,11880.0,-0.0093
2020-10-06,2437.0,2465.0,2473.0,2419.0,8950.0,-0.0089
2020-10-07,2452.0,2425.0,2467.0,2414.0,7920.0,0.0062
2020-10-08,2473.0,2465.0,2492.0,2454.0,8270.0,0.0086
2020-10-09,2432.0,2472.0,2473.0,2409.0,7570.0,-0.0166
2020-10-12,2444.0,2432.0,2453.0,2416.0,4770.0,0.0049
2020-10-13,2381.0,2426.0,2439.0,2371.0,16780.0,-0.0258
2020-10-14,2391.0,2378.0,2410.0,2360.0,13210.0,0.0042
2020-10-15,2343.0,2390.0,2392.0,2331.0,12170.0,-0.0201
