Date,Price,Open,High,Low,Vol.,Change %
2020-01-01,559.5,559.5,559.5,559.5,,0.0013
2020-01-02,560.25,559.5,567.5,558.25,49930.0,0.0013
2020-01-03,554.5,560.75,562.0,551.75,44180.0,-0.0103
2020-01-06,550.0,552.5,555.25,546.75,47900.0,-0.0081
2020-01-07,550.25,549.5,551.0,545.5,41350.0,0.0005
2020-01-08,552.75,549.5,555.75,545.25,51320.0,0.0045
2020-01-09,562.25,553.75,564.0,552.75,66460.0,0.0172
2020-01-10,564.5,562.75,568.5,555.75,92630.0,0.004
2020-01-13,562.25,565.25,565.75,558.5,51060.0,-0.004
2020-01-14,568.5,562.25,573.0,559.25,69290.0,0.0111
2020-01-15,573.25,569.0,578.75,568.25,78780.0,0.0084
2020-01-16,565.25,573.5,573.5,560.0,58190.0,-0.014
2020-01-17,570.5,565.5,572.5,564.25,54670.0,0.0093
2020-01-19,570.75,571.12,571.12,570.75,,0.0004
2020-01-20,569.75,569.5,569.75,569.5,,-0.0018
2020-01-21,581.5,572.5,582.75,566.75,69900.0,0.0206
2020-01-22,577.75,581.5,592.5,574.5,84470.0,-0.0064
2020-01-23,580.5,577.75,583.0,575.25,55850.0,0.0048
2020-01-24,573.5,581.75,581.75,569.5,58500.0,-0.0121
2020-01-27,572.25,567.75,573.25,559.5,78990.0,-0.0022
2020-01-28,569.75,573.0,576.5,565.5,56860.0,-0.0044
2020-01-29,562.25,571.0,573.25,561.0,55030.0,-0.0132
2020-01-30,560.5,562.5,562.5,550.75,77790.0,-0.0031
2020-01-31,553.75,562.5,566.0,552.75,63920.0,-0.012
2020-02-03,555.5,551.25,558.0,546.5,83000.0,0.0032
2020-02-04,557.25,554.25,564.25,553.5,69490.0,0.0032
2020-02-05,562.0,559.25,563.75,555.5,52870.0,0.0085
2020-02-06,556.25,563.75,565.5,555.75,51960.0,-0.0102
2020-02-07,558.75,557.0,563.0,553.25,64890.0,0.0045
2020-02-10,552.0,558.75,560.75,551.0,100460.0,-0.0121
2020-02-11,542.0,551.5,551.75,539.0,166630.0,-0.0181
2020-02-12,547.5,541.0,549.0,538.25,91900.0,0.0101
2020-02-13,544.25,548.5,550.5,540.75,85050.0,-0.0059
2020-02-14,542.75,544.75,549.5,542.0,63120.0,-0.0028
2020-02-16,545.38,544.38,545.38,543.88,,0.0048
2020-02-18,566.75,549.25,570.75,548.0,123530.0,0.0392
2020-02-19,565.25,563.0,565.75,553.0,68270.0,-0.0026
2020-02-20,560.0,565.25,567.5,558.25,55430.0,-0.0093
2020-02-21,551.0,559.75,569.0,550.5,81110.0,-0.0161
2020-02-24,536.25,550.25,550.5,534.0,53340.0,-0.0268
2020-02-25,539.0,539.0,541.25,530.75,29430.0,0.0051
2020-02-26,540.25,539.25,542.75,534.75,19750.0,0.0023
2020-02-27,529.25,538.75,539.25,528.25,20810.0,-0.0204
2020-02-28,529.0,531.0,531.25,515.5,2190.0,-0.0005
2020-03-02,526.25,523.5,526.25,521.5,670.0,-0.0052
2020-03-03,528.75,523.0,534.5,523.0,300.0,0.0048
2020-03-04,521.5,528.0,528.0,521.25,210.0,-0.0137
2020-03-05,524.25,521.25,528.5,518.5,110.0,0.0053
2020-03-06,521.25,520.0,522.75,516.25,30.0,-0.0057
2020-03-09,522.25,516.0,524.0,513.5,120.0,0.0019
2020-03-10,526.75,524.25,524.25,519.25,60.0,0.0086
2020-03-11,517.25,527.25,527.5,521.0,30.0,-0.018
2020-03-12,508.25,506.75,508.75,506.75,20.0,-0.0174
2020-03-13,514.75,509.75,509.75,506.5,80.0,0.0128
2020-03-16,498.0,503.0,507.25,491.75,78980.0,-0.0325
2020-03-17,499.25,496.25,506.5,494.5,65540.0,0.0025
2020-03-18,508.25,500.75,512.0,494.5,68780.0,0.018
2020-03-19,535.0,508.5,540.5,508.5,103080.0,0.0526
2020-03-20,539.25,534.5,547.0,533.0,71440.0,0.0079
2020-03-23,562.5,539.5,563.25,537.25,86810.0,0.0431
2020-03-24,561.5,560.5,562.5,549.75,67260.0,-0.0018
2020-03-25,580.0,560.0,583.25,556.75,97560.0,0.0329
2020-03-26,569.0,579.5,583.0,564.5,76660.0,-0.019
2020-03-27,571.25,569.5,587.0,563.5,87580.0,0.004
2020-03-30,569.5,572.25,580.75,562.75,59620.0,-0.0031
2020-03-31,568.75,569.75,575.25,564.25,66200.0,-0.0013
2020-04-01,550.25,567.25,571.75,546.5,67310.0,-0.0325
2020-04-02,541.75,550.25,553.25,538.25,46930.0,-0.0154
2020-04-03,549.25,541.75,556.5,541.5,44940.0,0.0138
2020-04-06,555.75,550.0,561.75,549.75,44550.0,0.0118
2020-04-07,549.25,555.25,555.75,545.25,67150.0,-0.0117
2020-04-08,548.25,551.0,554.5,545.0,57530.0,-0.0018
2020-04-09,556.5,549.25,558.75,546.75,63610.0,0.015
2020-04-10,558.25,558.25,558.25,558.25,,0.0031
2020-04-13,555.0,560.75,564.5,552.5,53250.0,-0.0058
2020-04-14,548.75,555.75,556.75,546.0,53930.0,-0.0113
2020-04-15,540.25,546.5,548.75,529.75,67690.0,-0.0155
2020-04-16,529.75,538.75,545.25,528.0,31460.0,-0.0194
2020-04-17,533.5,528.5,536.0,524.5,23900.0,0.0071
2020-04-20,548.75,536.0,562.0,535.25,40950.0,0.0286
2020-04-21,546.75,551.5,557.0,541.75,18720.0,-0.0036
