"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","242.35","240.72","243.93","239.53","","0.43%"
"10/31/2024","241.32","242.50","243.03","239.88","8.28K","-0.27%"
"10/30/2024","241.97","243.38","243.50","240.78","9.00K","-0.84%"
"10/29/2024","244.03","247.00","247.30","243.53","8.96K","-1.18%"
"10/28/2024","246.95","244.80","247.05","244.75","5.23K","0.54%"
"10/25/2024","245.62","245.38","246.35","244.10","5.26K","-1.52%"
"10/24/2024","249.40","248.70","249.77","248.40","0.68K","2.29%"
"10/23/2024","243.82","245.12","246.75","243.35","6.72K","-2.25%"
"10/22/2024","249.43","248.15","249.63","247.90","1.27K","2.12%"
"10/21/2024","244.25","245.50","245.60","243.93","4.17K","-1.35%"
"10/18/2024","247.60","245.80","248.28","245.80","5.01K","0.35%"
"10/17/2024","246.73","246.80","247.93","245.80","1.65K","0.25%"
"10/16/2024","246.10","246.32","247.30","245.70","1.37K","-0.17%"
"10/15/2024","246.52","249.13","249.13","246.27","2.40K","-1.04%"
"10/14/2024","249.13","249.85","250.68","248.85","1.45K","-0.27%"
"10/11/2024","249.80","249.98","250.70","249.38","6.07K","-0.06%"
"10/10/2024","249.95","248.50","250.20","247.60","6.19K","0.51%"
"10/09/2024","248.68","250.50","250.80","247.80","7.78K","-0.65%"
"10/08/2024","250.30","249.35","250.73","248.27","7.16K","0.46%"
"10/07/2024","249.15","249.25","249.97","248.47","10.43K","-0.05%"
"10/04/2024","249.27","248.30","249.65","247.38","5.45K","0.46%"
"10/03/2024","248.13","248.40","249.23","246.82","7.70K","-0.17%"
"10/02/2024","248.55","244.43","248.70","244.43","8.33K","1.58%"
"10/01/2024","244.68","244.82","246.23","243.77","6.90K","-0.09%"
"09/30/2024","244.90","244.75","246.55","244.20","7.03K","-0.33%"
"09/27/2024","245.70","244.98","247.00","244.60","8.88K","-0.50%"
"09/26/2024","246.93","245.32","247.20","243.32","5.58K","0.37%"
"09/25/2024","246.02","245.60","246.50","245.02","3.15K","0.09%"
"09/24/2024","245.80","244.48","246.18","243.63","5.25K","0.54%"
"09/23/2024","244.48","244.45","245.18","243.00","6.03K","0.24%"
"09/20/2024","243.90","243.55","245.30","242.02","6.11K","0.05%"
"09/19/2024","243.77","241.00","244.10","240.40","7.41K","1.59%"
"09/18/2024","239.95","240.70","241.18","239.55","5.59K","-0.33%"
"09/17/2024","240.75","239.25","241.48","238.85","6.26K","0.73%"
