"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","84.15","84.57","85.07","83.88","16.86K","0.42%"
"10/31/2024","83.80","84.65","84.68","83.65","","-0.68%"
"10/30/2024","84.38","83.00","84.65","83.00","35.59K","1.87%"
"10/29/2024","82.82","81.50","83.00","81.25","33.91K","2.73%"
"10/28/2024","80.63","79.75","80.82","79.20","23.14K","1.19%"
"10/25/2024","79.68","78.85","79.72","78.18","23.97K","1.30%"
"10/24/2024","78.65","79.80","80.30","78.43","26.79K","-1.90%"
"10/23/2024","80.18","79.00","80.22","78.88","22.16K","1.33%"
"10/22/2024","79.13","78.85","79.45","78.25","25.50K","1.09%"
"10/21/2024","78.28","77.72","78.47","76.80","19.33K","0.58%"
"10/18/2024","77.82","77.85","78.38","77.28","16.95K","0.19%"
"10/17/2024","77.68","77.70","78.43","77.05","24.41K","-0.03%"
"10/16/2024","77.70","75.40","77.85","75.22","25.73K","3.29%"
"10/15/2024","75.22","75.80","76.28","75.10","15.70K","-10.55%"
"10/14/2024","84.10","84.00","84.13","83.95","1.43K","0.03%"
"10/11/2024","84.07","84.05","84.18","83.95","3.21K","0.06%"
"10/10/2024","84.03","83.97","84.20","83.90","3.62K","0.12%"
"10/09/2024","83.93","84.10","84.18","83.70","4.56K","-0.24%"
"10/08/2024","84.13","84.10","84.40","83.97","4.49K","0.18%"
"10/07/2024","83.97","83.85","84.05","83.63","7.00K","-0.06%"
"10/04/2024","84.03","84.07","84.50","83.78","5.75K","-0.18%"
"10/03/2024","84.18","84.38","84.40","83.78","5.47K","-0.59%"
"10/02/2024","84.68","83.85","84.75","83.72","8.40K","1.41%"
"10/01/2024","83.50","82.55","83.78","82.47","10.56K","1.52%"
"09/30/2024","82.25","82.05","82.50","81.72","4.49K","0.24%"
"09/27/2024","82.05","81.80","82.90","81.50","8.73K","0.03%"
"09/26/2024","82.03","82.53","82.53","81.28","11.99K","-0.55%"
"09/25/2024","82.47","81.97","82.70","81.97","5.54K","0.43%"
"09/24/2024","82.13","82.50","83.05","81.97","8.46K","-0.21%"
"09/23/2024","82.30","82.22","82.55","81.88","7.94K","0.09%"
"09/20/2024","82.22","82.28","82.65","81.95","7.55K","-0.03%"
"09/19/2024","82.25","81.93","82.40","81.72","9.89K","0.24%"
"09/18/2024","82.05","81.95","82.30","81.28","10.66K","0.34%"
"09/17/2024","81.78","80.20","82.07","80.20","26.60K","2.31%"
"09/16/2024","79.93","78.72","80.68","78.60","22.27K","1.88%"
"09/13/2024","78.45","79.22","79.75","78.28","23.68K","-0.57%"
"09/12/2024","78.90","79.45","80.15","78.88","22.20K","-1.07%"
"09/11/2024","79.75","79.00","79.80","78.47","30.78K","1.53%"
"09/10/2024","78.55","79.20","79.55","78.20","31.96K","-0.32%"
"09/09/2024","78.80","79.95","80.03","78.47","34.81K","-0.88%"
"09/06/2024","79.50","80.60","81.30","79.43","22.56K","-1.49%"
"09/05/2024","80.70","81.13","81.78","80.45","25.06K","-1.07%"
"09/04/2024","81.57","82.82","83.38","81.43","25.07K","-1.15%"
"09/03/2024","82.53","82.25","83.00","80.75","26.91K","0.36%"
"08/30/2024","82.22","82.13","83.00","81.93","17.02K","0.06%"
"08/29/2024","82.18","81.38","82.30","81.10","17.27K","0.61%"
"08/28/2024","81.68","81.80","82.43","81.53","18.82K","-0.49%"
"08/27/2024","82.07","79.90","82.47","79.68","28.02K","2.08%"
"08/26/2024","80.40","80.60","81.45","79.78","20.50K","-0.19%"
"08/23/2024","80.55","79.55","80.93","79.45","31.78K","1.16%"
"08/22/2024","79.63","75.22","79.78","74.93","36.00K","4.56%"
"08/21/2024","76.15","76.68","78.13","75.70","22.91K","-0.33%"
"08/20/2024","76.40","76.22","76.93","76.07","18.20K","-0.52%"
"08/19/2024","76.80","74.85","77.28","74.75","23.00K","2.30%"
"08/16/2024","75.07","76.47","76.72","74.68","19.28K","-1.86%"
"08/15/2024","76.50","75.40","76.88","74.82","22.59K","-15.09%"
"08/14/2024","90.10","90.00","90.30","90.00","1.84K","0.22%"
"08/13/2024","89.90","89.75","89.97","89.65","3.34K","-0.14%"
"08/12/2024","90.03","89.80","90.05","89.72","2.49K","0.25%"
"08/09/2024","89.80","89.82","90.00","89.75","3.08K","-0.25%"
"08/08/2024","90.03","90.00","90.40","89.75","6.01K","-0.63%"
"08/07/2024","90.60","91.18","91.22","90.40","7.37K","-0.74%"
"08/06/2024","91.28","91.30","92.35","91.03","9.78K","0.14%"
"08/05/2024","91.15","91.78","91.95","90.90","9.95K","-1.14%"
"08/02/2024","92.20","93.00","93.15","92.07","8.29K","-1.02%"
"08/01/2024","93.15","92.28","93.30","92.13","9.26K","0.95%"
"07/31/2024","92.28","91.38","92.35","91.07","7.74K","1.18%"
"07/30/2024","91.20","91.68","91.90","90.70","7.60K","-0.27%"
"07/29/2024","91.45","93.05","93.05","90.63","16.12K","-2.17%"
"07/26/2024","93.47","94.07","94.10","93.38","8.19K","-0.32%"
"07/25/2024","93.78","94.00","94.32","92.88","9.48K","0.00%"
"07/24/2024","93.78","93.03","94.38","92.97","12.18K","0.13%"
"07/23/2024","93.65","92.75","94.07","92.70","14.89K","1.38%"
"07/22/2024","92.38","91.57","92.47","91.43","12.86K","0.87%"
"07/19/2024","91.57","91.38","92.18","90.82","11.44K","0.22%"
"07/18/2024","91.38","90.72","91.93","90.65","26.02K","-0.30%"
"07/17/2024","91.65","91.75","92.57","91.10","31.38K","0.41%"
"07/16/2024","91.28","88.57","91.45","88.57","37.79K","2.96%"
"07/15/2024","88.65","88.80","88.85","88.63","1.60K","-0.06%"
"07/12/2024","88.70","88.55","88.90","88.55","3.08K","0.17%"
"07/11/2024","88.55","88.45","88.68","88.35","3.44K","0.11%"
"07/10/2024","88.45","88.85","89.10","88.40","6.85K","-0.98%"
"07/09/2024","89.32","89.75","89.97","89.22","5.25K","-0.39%"
"07/08/2024","89.68","89.60","89.90","89.43","5.38K","-0.22%"
"07/05/2024","89.88","89.72","90.47","89.65","6.52K","0.14%"
"07/03/2024","89.75","89.25","90.07","89.25","5.89K","0.59%"
"07/02/2024","89.22","89.10","89.78","88.97","5.91K","0.03%"
"07/01/2024","89.20","89.65","90.75","89.05","6.94K","-0.42%"
"06/28/2024","89.57","89.85","90.07","88.90","7.53K","0.14%"
"06/27/2024","89.45","89.90","90.57","88.88","9.84K","-0.50%"
"06/26/2024","89.90","88.78","90.25","88.65","9.62K","1.01%"
"06/25/2024","89.00","90.15","90.97","88.80","12.19K","-1.06%"
"06/24/2024","89.95","91.80","91.80","89.72","10.33K","-2.28%"
"06/21/2024","92.05","91.45","92.13","91.05","9.98K","0.99%"
