"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","558.00","549.50","559.00","549.00","0.26K","1.55%"
"10/31/2024","549.50","551.50","564.00","545.00","","-0.72%"
"10/30/2024","553.50","543.00","555.00","543.00","0.80K","1.93%"
"10/29/2024","543.00","534.00","543.00","532.50","1.20K","1.40%"
"10/28/2024","535.50","531.50","537.50","531.50","1.02K","0.75%"
"10/25/2024","531.50","529.50","534.00","527.50","1.07K","0.38%"
"10/24/2024","529.50","528.00","529.50","525.50","1.36K","0.86%"
"10/23/2024","525.00","525.00","530.00","524.50","1.12K","0.29%"
"10/22/2024","523.50","525.00","526.50","523.50","0.47K","-0.48%"
"10/21/2024","526.00","528.50","529.00","523.50","0.62K","-0.38%"
"10/18/2024","528.00","525.50","529.00","525.00","0.89K","0.76%"
"10/17/2024","524.00","522.50","526.00","516.00","1.11K","0.29%"
"10/16/2024","522.50","530.00","531.00","521.00","0.90K","-1.32%"
"10/15/2024","529.50","528.00","531.50","523.00","0.40K","0.28%"
"10/14/2024","528.00","525.00","534.50","523.00","0.69K","0.57%"
"10/11/2024","525.00","525.50","527.50","522.00","0.52K","-0.19%"
"10/10/2024","526.00","531.50","534.50","525.00","0.47K","-1.13%"
"10/09/2024","532.00","524.50","535.00","520.00","0.71K","1.62%"
"10/08/2024","523.50","525.00","528.00","520.00","0.76K","-0.95%"
"10/07/2024","528.50","523.00","529.00","521.00","0.32K","0.76%"
"10/04/2024","524.50","528.00","532.50","522.00","0.56K","-1.04%"
"10/03/2024","530.00","531.00","537.00","528.00","0.65K","-0.19%"
"10/02/2024","531.00","521.00","532.50","520.00","0.77K","1.72%"
"10/01/2024","522.00","521.00","527.00","515.00","0.93K","0.19%"
"09/30/2024","521.00","534.50","538.00","520.00","1.16K","-2.53%"
"09/27/2024","534.50","527.50","535.00","525.50","0.79K","1.81%"
"09/26/2024","525.00","527.50","529.50","523.00","0.47K","-0.19%"
"09/25/2024","526.00","530.00","533.00","522.50","0.96K","-1.68%"
"09/24/2024","535.00","528.50","536.50","526.50","1.43K","1.23%"
"09/23/2024","528.50","511.00","529.50","510.00","1.18K","3.42%"
"09/20/2024","511.00","506.00","512.50","506.00","0.32K","0.59%"
"09/19/2024","508.00","515.50","519.50","506.00","0.46K","-1.36%"
"09/18/2024","515.00","517.50","520.00","513.50","0.43K","-0.39%"
"09/17/2024","517.00","510.00","519.50","507.50","0.62K","1.47%"
"09/16/2024","509.50","501.50","510.50","499.50","0.49K","6.15%"
"09/13/2024","480.00","480.00","484.50","478.00","0.06K","-1.44%"
"09/12/2024","487.00","490.00","492.00","486.00","0.22K","-0.61%"
"09/11/2024","490.00","482.00","493.00","481.50","0.41K","1.45%"
"09/10/2024","483.00","480.00","483.00","476.00","0.43K","0.42%"
"09/09/2024","481.00","488.00","489.50","479.50","0.58K","-1.43%"
"09/06/2024","488.00","494.50","498.00","487.50","0.52K","-2.20%"
"09/05/2024","499.00","498.50","509.00","495.00","0.81K","3.53%"
"09/04/2024","482.00","486.50","486.50","479.00","0.69K","-0.92%"
"09/03/2024","486.50","492.00","495.00","485.50","0.72K","-1.32%"
"08/30/2024","493.00","496.50","496.50","492.50","0.57K","-0.80%"
"08/29/2024","497.00","495.00","498.00","491.00","0.88K","0.40%"
"08/28/2024","495.00","496.00","498.50","490.00","0.87K","0.30%"
"08/27/2024","493.50","496.50","496.50","492.50","0.90K","-0.30%"
"08/26/2024","495.00","507.50","510.50","492.00","1.37K","-2.17%"
"08/23/2024","506.00","514.50","515.50","503.00","0.99K","-3.62%"
"08/22/2024","525.00","517.50","525.00","515.00","0.90K","2.44%"
"08/21/2024","512.50","515.00","519.00","508.00","1.21K","0.29%"
"08/20/2024","511.00","529.00","529.50","506.00","1.68K","-3.31%"
"08/19/2024","528.50","534.00","536.00","522.50","1.28K","-0.38%"
"08/16/2024","530.50","526.50","530.50","526.50","0.77K","0.19%"
"08/15/2024","529.50","523.50","530.50","523.50","0.94K","0.76%"
"08/14/2024","525.50","521.00","526.50","517.50","0.65K","1.15%"
"08/13/2024","519.50","523.00","527.00","519.00","0.59K","-0.95%"
"08/12/2024","524.50","527.50","537.50","522.00","0.92K","-0.29%"
"08/09/2024","526.00","502.50","528.00","500.00","1.26K","4.57%"
"08/08/2024","503.00","512.00","512.00","502.00","0.62K","-1.95%"
"08/07/2024","513.00","516.50","519.00","512.50","0.49K","-0.39%"
"08/06/2024","515.00","508.50","519.00","506.00","0.87K","1.78%"
"08/05/2024","506.00","502.00","510.00","496.50","0.59K","0.20%"
"08/02/2024","505.00","500.00","505.00","498.00","0.41K","0.90%"
