"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","243.80","246.45","249.22","241.30","","-0.85%"
"10/31/2024","245.90","249.00","249.50","244.35","17.38K","-1.48%"
"10/30/2024","249.60","248.70","250.55","245.15","16.87K","0.60%"
"10/29/2024","248.10","253.20","254.25","247.85","13.58K","-1.68%"
"10/28/2024","252.35","247.25","255.65","246.25","17.94K","1.59%"
"10/25/2024","248.40","245.85","248.75","244.40","15.94K","1.20%"
"10/24/2024","245.45","251.90","256.10","244.10","21.96K","-2.73%"
"10/23/2024","252.35","249.25","253.85","247.40","15.43K","1.00%"
"10/22/2024","249.85","252.50","255.70","248.55","17.53K","-0.73%"
"10/21/2024","251.70","253.50","254.05","248.05","16.92K","-2.18%"
"10/18/2024","257.30","254.00","259.10","253.10","11.06K","0.84%"
"10/17/2024","255.15","257.10","261.00","253.40","13.29K","-1.10%"
"10/16/2024","258.00","258.00","259.55","254.80","13.09K","0.51%"
"10/15/2024","256.70","261.70","264.15","255.35","14.78K","-2.04%"
"10/14/2024","262.05","251.05","262.65","250.30","16.92K","3.97%"
"10/11/2024","252.05","254.25","256.45","251.00","13.85K","-1.06%"
"10/10/2024","254.75","248.05","257.10","247.40","15.93K","1.88%"
"10/09/2024","250.05","247.75","252.90","246.60","14.32K","0.75%"
"10/08/2024","248.20","248.05","248.90","244.05","16.06K","0.55%"
"10/07/2024","246.85","252.62","253.60","243.50","","-3.18%"
"10/04/2024","254.95","253.28","257.73","252.05","","0.26%"
"10/03/2024","254.30","257.42","258.50","251.40","","-0.84%"
"10/02/2024","256.45","265.45","267.45","255.85","","-2.78%"
"10/01/2024","263.78","269.73","271.27","261.55","","-3.04%"
"09/30/2024","272.05","268.48","272.12","264.25","","1.08%"
