"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","46.13","45.48","46.65","45.48","","2.19%"
"10/31/2024","45.14","43.87","45.44","43.60","89.01K","3.04%"
"10/30/2024","43.81","42.89","44.24","42.64","72.35K","2.36%"
"10/29/2024","42.80","42.70","43.49","42.60","55.38K","0.26%"
"10/28/2024","42.69","43.74","43.75","42.47","98.91K","-3.31%"
"10/25/2024","44.15","44.33","44.77","43.81","66.46K","-0.41%"
"10/24/2024","44.33","43.40","45.10","43.38","89.61K","2.17%"
"10/23/2024","43.39","43.83","43.99","43.16","62.66K","-0.69%"
"10/22/2024","43.69","42.38","43.91","42.26","77.03K","3.07%"
"10/21/2024","42.39","41.82","42.55","41.68","61.70K","1.36%"
"10/18/2024","41.82","42.48","43.16","41.60","71.37K","-1.81%"
"10/17/2024","42.59","41.68","42.68","41.51","79.80K","2.18%"
"10/16/2024","41.68","42.45","43.01","41.65","74.79K","-1.81%"
"10/15/2024","42.45","41.91","42.67","41.36","92.50K","0.69%"
"10/14/2024","42.16","42.16","42.16","42.16","0.01K","-2.95%"
"10/11/2024","43.44","43.44","43.44","43.44","0.06K","-0.98%"
"10/10/2024","43.87","43.87","43.87","43.87","","1.41%"
"10/09/2024","43.26","43.26","43.26","43.26","0.21K","-0.25%"
"10/08/2024","43.37","43.38","43.38","43.38","0.11K","-2.69%"
"10/07/2024","44.57","43.91","44.81","43.17","74.15K","1.36%"
"10/04/2024","43.97","44.56","45.29","43.89","85.06K","-1.26%"
"10/03/2024","44.53","43.73","44.99","43.30","90.19K","2.04%"
"10/02/2024","43.64","42.91","44.28","42.80","86.25K","1.70%"
"10/01/2024","42.91","43.18","44.10","42.33","107.82K","-0.92%"
"09/30/2024","43.31","42.41","43.47","41.92","79.04K","2.24%"
"09/27/2024","42.36","42.90","43.14","42.03","106.34K","-1.26%"
"09/26/2024","42.90","44.11","44.86","42.78","129.26K","-2.83%"
"09/25/2024","44.15","43.40","44.43","43.06","131.62K","1.87%"
"09/24/2024","43.34","41.84","43.44","41.54","110.82K","3.59%"
"09/23/2024","41.84","41.31","42.77","41.26","102.32K","1.16%"
"09/20/2024","41.36","40.93","41.50","40.58","68.15K","1.05%"
"09/19/2024","40.93","40.31","41.19","40.01","86.23K","1.54%"
"09/18/2024","40.31","39.92","40.84","39.87","59.87K","1.08%"
"09/17/2024","39.88","39.11","40.10","39.10","54.99K","1.97%"
"09/16/2024","39.11","38.93","39.53","38.64","59.76K","-1.06%"
"09/13/2024","39.53","40.39","40.78","39.35","24.49K","-1.98%"
"09/12/2024","40.33","39.80","40.57","39.62","27.34K","1.38%"
"09/11/2024","39.78","40.29","40.97","39.58","33.00K","-1.27%"
"09/10/2024","40.29","41.12","41.29","40.13","23.63K","-1.90%"
"09/09/2024","41.07","40.22","41.21","40.21","17.60K","2.14%"
