"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","568.90","571.75","577.62","564.38","","-0.28%"
"10/31/2024","570.50","572.75","573.75","563.50","61.59K","-0.48%"
"10/30/2024","573.25","571.25","580.50","564.00","68.18K","0.48%"
"10/29/2024","570.50","559.00","572.75","558.00","67.42K","2.10%"
"10/28/2024","558.75","564.25","571.50","557.75","61.30K","-1.80%"
"10/25/2024","569.00","581.25","585.50","566.00","75.99K","-2.15%"
"10/24/2024","581.50","579.00","584.25","575.00","49.88K","0.52%"
"10/23/2024","578.50","575.75","582.75","566.25","57.25K","0.43%"
"10/22/2024","576.00","574.00","578.75","565.75","49.87K","0.66%"
"10/21/2024","572.25","572.75","584.25","570.75","74.09K","-0.09%"
"10/18/2024","572.75","590.00","595.50","570.25","82.03K","-2.84%"
"10/17/2024","589.50","584.25","591.75","576.25","75.30K","0.77%"
"10/16/2024","585.00","581.25","587.50","575.25","57.51K","0.95%"
"10/15/2024","579.50","585.50","586.75","578.00","69.76K","-0.98%"
"10/14/2024","585.25","598.50","601.00","584.25","55.97K","-2.30%"
"10/11/2024","599.00","603.75","611.25","592.50","75.59K","-0.79%"
"10/10/2024","603.75","600.75","609.25","598.50","60.99K","0.79%"
"10/09/2024","599.00","594.75","604.75","594.25","55.19K","0.71%"
"10/08/2024","594.75","593.75","599.00","587.50","59.04K","0.38%"
"10/07/2024","592.50","590.25","595.25","584.00","55.58K","0.47%"
"10/04/2024","589.75","603.75","604.25","587.00","76.33K","-2.28%"
"10/03/2024","603.50","614.25","617.25","601.25","78.99K","-1.91%"
"10/02/2024","615.25","596.25","617.25","596.25","116.43K","2.71%"
"10/01/2024","599.00","584.00","602.50","577.00","84.58K","2.57%"
"09/30/2024","584.00","579.75","590.75","575.50","58.87K","0.69%"
"09/27/2024","580.00","583.00","583.50","575.50","46.19K","-0.73%"
"09/26/2024","584.25","590.50","596.25","582.75","69.06K","-0.85%"
"09/25/2024","589.25","579.00","591.25","573.75","52.96K","1.95%"
"09/24/2024","578.00","581.25","589.25","575.25","52.27K","-0.77%"
"09/23/2024","582.50","570.50","586.50","569.00","63.33K","2.46%"
