Date,crude,feeder,lean_hogs,cattle,london_coffee,lumber,oats,orange,us_cocoa,us_coffee_c,soybean_oil,soybeans,sugar_11,wheat,job_index
2020-02-03,50.28,136.65,56.3,121.67,1302.0,422.8,300.25,98.3,2734.0,272.05,30.65,877.0,14.89,555.5,99.97
2020-02-04,49.8,137.5,56.75,121.62,1290.0,412.7,308.0,97.45,2757.0,272.05,31.1,879.5,14.71,557.25,100.03
2020-02-05,50.92,135.68,57.1,120.75,1284.0,428.3,304.5,97.3,2790.0,272.05,31.69,880.0,14.73,562.0,100.12
2020-02-06,51.14,135.9,57.7,121.12,1297.0,433.2,304.75,98.2,2849.0,272.05,31.61,881.0,14.74,556.25,100.24
2020-02-07,50.55,135.2,57.1,121.33,1290.0,440.2,303.0,98.35,2898.0,272.05,31.34,882.0,14.92,558.75,100.2
2020-02-10,49.78,135.7,56.2,120.3,1285.0,446.0,301.75,101.25,2878.0,272.05,30.99,884.25,15.04,552.0,100.26
2020-02-11,50.17,134.68,56.12,119.08,1299.0,451.4,299.25,102.3,2876.0,272.05,31.08,884.75,15.41,542.0,100.23
2020-02-12,51.41,135.05,55.67,118.95,1287.0,454.5,304.0,100.75,2868.0,272.05,31.4,892.5,15.78,547.5,100.19
2020-02-13,51.66,136.32,56.0,119.45,1301.0,455.1,295.75,101.7,2895.0,272.05,31.09,896.25,15.16,544.25,100.12
2020-02-14,52.32,138.52,55.9,120.83,1314.0,449.3,296.0,101.5,2886.0,272.05,30.94,893.75,15.06,542.75,100.09
2020-02-16,52.36,138.52,55.9,120.83,1314.0,449.3,296.0,101.5,2886.0,272.05,30.63,892.5,15.06,545.38,99.61
2020-02-17,52.2,138.52,55.9,120.83,1314.0,449.3,296.0,101.5,2886.0,272.05,30.63,892.5,15.06,545.38,99.38
2020-02-18,52.29,139.3,65.5,121.42,1293.0,446.1,303.5,100.75,2846.0,272.05,30.84,892.25,15.28,566.75,99.21
2020-02-19,53.49,140.77,67.58,121.3,1290.0,460.3,301.25,102.2,2847.0,272.05,30.7,897.25,15.58,565.25,98.98
2020-02-20,53.88,140.8,66.88,120.1,1279.0,463.0,298.5,100.3,2860.0,272.05,30.47,892.75,15.4,560.0,98.74
2020-02-21,53.5,140.2,67.03,119.72,1296.0,460.1,296.0,100.85,2843.0,272.05,31.01,890.5,15.59,551.0,98.54
2020-02-24,51.58,136.02,64.62,117.0,1273.0,443.1,286.0,99.6,2801.0,272.05,29.87,874.25,15.27,536.25,98.34
2020-02-25,50.06,132.98,64.67,115.03,1282.0,435.3,285.0,99.35,2806.0,272.05,29.62,879.0,15.15,539.0,98.3
2020-02-26,48.88,134.07,65.15,114.08,1295.0,427.5,278.75,97.15,2739.0,272.05,29.45,881.0,14.79,540.25,98.31
2020-02-27,47.29,132.57,62.55,112.62,1289.0,412.0,273.5,95.05,2745.0,272.05,29.19,886.25,14.39,529.25,98.36
2020-02-28,44.94,131.27,62.27,112.7,1283.0,399.4,268.75,95.95,2672.0,272.05,28.68,883.5,14.46,529.0,98.4
2020-03-02,46.92,133.73,62.8,110.15,1291.0,415.6,259.0,99.4,2661.0,272.05,28.91,890.5,13.81,526.25,98.59
2020-03-03,47.33,133.52,63.55,110.1,1331.0,404.1,258.0,98.35,2653.0,272.05,29.16,893.0,13.76,528.75,98.55
2020-03-04,46.95,134.85,64.3,111.28,1307.0,410.2,264.25,98.4,2626.0,272.05,29.74,898.75,13.47,521.5,98.44
2020-03-05,46.06,133.63,65.38,108.65,1274.0,407.5,264.0,97.25,2597.0,272.05,29.39,889.0,13.42,524.25,98.31
2020-03-06,41.51,130.7,65.92,105.75,1245.0,400.4,261.75,96.7,2561.0,272.05,28.75,883.25,13.02,521.25,98.18
2020-03-09,31.47,126.2,63.0,102.85,1247.0,370.4,261.0,94.05,2545.0,272.05,27.54,863.5,12.61,522.25,97.77
2020-03-10,34.73,127.75,65.0,105.45,1279.0,378.8,268.5,96.2,2577.0,272.05,27.67,873.0,12.59,526.75,97.71
2020-03-11,33.39,123.32,63.88,103.08,1271.0,373.5,268.0,97.9,2625.0,272.05,27.53,867.75,12.26,517.25,97.64
2020-03-12,31.98,118.82,60.88,100.08,1249.0,330.1,268.5,98.55,2495.0,272.05,26.38,855.0,11.62,508.25,97.54
2020-03-13,32.11,113.0,56.38,95.58,1241.0,350.0,268.5,100.2,2425.0,272.05,26.37,846.75,11.7,514.75,97.34
2020-03-16,29.0,108.5,53.98,91.85,1221.0,325.0,259.5,100.1,2331.0,272.05,25.34,821.75,11.09,498.0,96.6
2020-03-17,27.33,113.55,58.48,96.35,1212.0,310.0,253.5,101.8,2318.0,272.05,25.59,824.25,10.89,499.25,96.04
2020-03-18,20.83,112.57,58.15,92.1,1227.0,303.4,255.25,98.45,2284.0,272.05,25.37,825.5,10.67,508.25,95.34
2020-03-19,25.91,117.07,61.15,95.1,1216.0,319.8,261.25,99.95,2216.0,272.05,25.81,843.25,10.59,535.0,94.51
2020-03-20,22.63,120.72,61.58,98.65,1244.0,322.3,262.0,105.6,2230.0,272.05,25.94,862.5,10.91,539.25,93.48
2020-03-23,25.48,125.22,64.58,101.65,1244.0,320.2,268.5,109.55,2257.0,272.05,26.4,884.0,11.04,562.5,89.42
2020-03-24,26.2,130.23,66.42,106.15,1257.0,321.5,269.5,114.0,2275.0,272.05,26.84,886.75,11.27,561.5,88.15
2020-03-25,27.16,132.07,65.85,108.45,1259.0,311.6,266.0,117.95,2248.0,272.05,26.99,881.5,11.41,580.0,86.81
2020-03-26,25.71,130.8,62.9,105.45,1278.0,320.8,261.0,117.95,2255.0,272.05,26.86,880.25,11.33,569.0,85.42
2020-03-27,25.15,120.6,58.45,100.95,1244.0,311.3,265.5,117.65,2257.0,272.05,27.22,881.5,11.1,571.25,83.94
2020-03-30,24.09,120.05,53.95,99.2,1237.0,296.5,261.5,120.1,2265.0,272.05,27.23,882.25,10.73,569.5,80.21
2020-03-31,24.51,121.93,52.2,101.83,1222.0,278.5,264.25,120.4,2249.0,272.05,27.36,886.0,10.42,568.75,78.99
2020-04-01,23.74,117.43,49.2,97.33,1204.0,259.8,260.25,119.3,2227.0,272.05,26.41,862.75,10.04,550.25,77.75
2020-04-02,28.05,110.68,44.7,92.83,1234.0,264.1,264.5,116.45,2285.0,272.05,26.59,858.75,10.29,541.75,76.55
2020-04-03,30.9,108.25,40.23,88.33,1220.0,264.0,272.75,114.0,2264.0,272.05,26.75,854.25,10.31,549.25,75.65
2020-04-06,29.98,110.43,41.12,83.83,1221.0,282.0,273.5,111.9,2366.0,272.05,27.15,855.5,10.45,555.75,72.15
2020-04-07,28.69,114.93,44.12,88.33,1233.0,307.4,274.25,108.3,2392.0,272.05,27.81,854.75,10.38,549.25,71.02
2020-04-08,30.17,119.88,43.12,92.83,1230.0,304.1,275.5,105.2,2372.0,272.05,27.53,854.5,10.37,548.25,70.19
2020-04-09,28.82,119.53,42.8,94.0,1219.0,322.1,274.25,110.95,2311.0,272.05,27.76,863.5,10.43,556.5,69.35
2020-04-10,28.82,118.72,42.9,84.57,1219.0,322.1,274.25,110.95,2311.0,272.05,27.41,863.25,10.43,558.25,68.45
2020-04-13,29.26,115.03,44.9,91.0,1219.0,333.7,274.75,106.55,2272.0,272.05,27.27,854.25,10.17,555.0,66.71
2020-04-14,27.4,116.4,45.65,93.7,1192.0,331.0,277.25,108.25,2288.0,272.05,27.16,847.0,10.05,548.75,66.23
2020-04-15,26.04,115.8,45.6,94.72,1206.0,324.0,285.5,108.9,2229.0,272.05,26.94,842.0,10.16,540.25,65.64
2020-04-16,25.53,118.25,37.33,95.5,1205.0,332.6,289.25,109.2,2258.0,272.05,26.68,836.75,10.16,529.75,65.15
2020-04-17,25.03,119.53,37.92,94.65,1188.0,341.7,288.0,107.4,2368.0,272.05,26.67,832.5,10.37,533.5,64.7
2020-04-20,20.43,118.32,40.6,93.53,1177.0,328.5,293.25,107.65,2358.0,272.05,26.37,826.5,10.06,548.75,63.71
2020-04-21,11.57,117.9,44.27,91.6,1139.0,317.5,296.75,106.9,2318.0,272.05,25.76,830.75,9.75,546.75,63.43
2020-04-22,20.69,118.47,47.23,88.95,1121.0,329.4,303.25,107.25,2375.0,272.05,25.99,834.75,9.83,543.0,63.16
2020-04-23,21.44,119.43,50.98,85.95,1150.0,325.2,295.0,107.75,2363.0,272.05,26.04,839.25,9.84,547.0,62.91
2020-04-24,21.22,119.8,52.52,84.97,1144.0,322.3,303.0,108.6,2323.0,272.05,25.5,832.25,9.73,526.75,62.71
2020-04-27,18.08,120.4,56.27,84.8,1150.0,315.6,305.0,112.2,2330.0,272.05,25.47,829.0,9.21,521.0,62.15
2020-04-28,17.6,119.63,55.05,85.53,1180.0,326.5,305.75,114.1,2342.0,272.05,25.77,826.0,9.34,526.75,61.92
2020-04-29,19.12,119.55,56.27,85.6,1186.0,317.9,306.5,114.0,2377.0,272.05,26.17,831.75,9.76,519.5,61.74
2020-04-30,21.85,119.18,59.12,90.0,1194.0,319.7,307.0,111.25,2414.0,272.05,26.6,850.25,10.39,529.75,61.6
2020-05-01,22.29,117.82,62.88,87.25,1205.0,327.0,309.25,113.1,2402.0,272.05,26.5,847.25,10.97,521.5,61.5
2020-05-04,22.78,119.07,67.72,88.08,1197.0,330.0,315.0,116.8,2387.0,272.05,26.15,834.0,10.4,524.25,61.01
2020-05-05,26.49,119.6,66.15,86.47,1200.0,336.2,315.0,117.4,2378.0,272.05,26.31,838.25,10.78,525.5,60.94
2020-05-06,25.62,124.1,68.1,89.47,1201.0,327.4,310.25,119.35,2363.0,272.05,25.84,830.5,10.27,524.75,60.93
2020-05-07,24.83,130.27,68.8,93.97,1186.0,332.0,315.25,119.35,2381.0,272.05,26.26,841.5,10.33,529.0,60.91
2020-05-08,26.17,127.9,67.3,94.65,1186.0,342.6,315.5,119.45,2400.0,272.05,26.54,848.75,10.29,529.5,60.97
2020-05-11,25.08,123.65,66.33,92.67,1198.0,331.0,318.75,116.65,2463.0,272.05,26.49,852.25,10.12,524.75,61.52
2020-05-12,26.33,127.3,68.03,97.17,1180.0,341.0,320.75,116.5,2402.0,272.05,26.26,849.25,10.25,521.75,61.65
2020-05-13,25.68,125.3,68.0,93.88,1147.0,335.1,322.0,118.0,2456.0,272.05,25.91,836.0,10.26,510.5,61.42
2020-05-14,27.88,123.8,68.67,94.12,1168.0,343.5,322.0,119.65,2413.0,272.05,26.18,835.25,10.46,510.5,61.47
2020-05-15,29.52,124.72,57.88,97.0,1178.0,333.0,312.0,122.8,2399.0,272.05,26.76,838.5,10.38,500.25,61.66
2020-05-18,31.65,126.6,57.65,98.72,1182.0,346.2,318.75,125.05,2404.0,272.05,27.51,845.0,10.8,497.0,61.81
2020-05-19,31.96,127.43,56.65,98.78,1184.0,354.3,315.75,126.2,2435.0,272.05,27.28,842.5,10.85,498.75,61.89
2020-05-20,33.94,126.0,56.88,98.4,1186.0,367.5,318.0,123.95,2401.0,272.05,27.53,846.75,11.19,513.75,62.32
2020-05-21,34.34,126.03,59.35,98.8,1189.0,370.3,319.75,126.0,2340.0,272.05,27.3,835.0,10.98,516.0,62.6
2020-05-22,33.65,128.8,58.77,97.7,1207.0,367.5,323.5,125.5,2394.0,272.05,26.82,833.25,10.93,508.75,62.73
2020-05-24,32.9,128.8,58.77,97.7,1207.0,367.5,323.5,125.5,2394.0,272.05,26.82,833.5,10.93,508.12,63.13
2020-05-25,33.92,128.8,58.77,97.7,1207.0,367.5,323.5,125.5,2394.0,272.05,26.73,832.62,10.93,504.88,63.28
2020-05-26,34.77,133.3,60.5,99.4,1242.0,356.8,331.25,127.0,2394.0,272.05,27.45,847.0,11.05,506.75,63.4
2020-05-27,33.23,134.02,60.17,100.8,1232.0,359.9,327.5,128.15,2363.0,272.05,27.79,848.5,10.8,504.5,63.51
2020-05-28,34.06,135.5,56.92,101.47,1199.0,368.3,328.5,127.6,2429.0,272.05,27.57,847.0,10.8,514.5,63.52
2020-05-29,35.84,135.35,56.85,99.72,1189.0,367.1,324.25,123.5,2454.0,272.05,27.55,840.75,10.91,520.75,63.7
2020-06-01,35.79,136.13,54.6,98.3,1178.0,362.3,329.75,125.2,2493.0,272.05,27.78,840.5,11.0,515.25,64.5
2020-06-02,37.06,133.43,52.4,95.3,1198.0,357.0,328.25,127.55,2402.0,272.05,28.12,850.5,11.22,508.0,64.81
2020-06-03,37.59,134.23,48.65,95.45,1218.0,348.1,331.75,129.15,2395.0,272.05,28.05,857.5,11.62,512.0,65.14
2020-06-04,37.72,134.73,48.42,95.72,1210.0,356.2,345.5,126.7,2396.0,272.05,28.01,867.75,11.73,523.75,65.52
